customer_id,last_order_date,frequency,monetary,recency,r_score,f_score,m_score,rfm_combined,rfm_segment,kmeans_cluster
CUST-00024,2025-12-12 07:12:24,6,4428.57,200,3,4,4,344,Loyal Customers,2
CUST-00025,2025-08-09 12:28:02,6,10279.7,325,2,4,5,245,At-Risk High Value,0
CUST-00026,2026-05-08 06:32:32,6,11708.61,53,4,4,5,445,VIP Champions,0
CUST-00027,2026-01-14 16:03:08,8,8997.41,167,3,5,5,355,Loyal Customers,0
CUST-00028,2026-04-21 04:31:41,7,4094.36,70,4,5,4,454,VIP Champions,2
CUST-00029,2025-01-08 10:23:00,3,1710.18,538,1,2,2,122,Hibernating / Lost,3
CUST-00030,2026-05-23 17:06:25,4,2650.7,38,5,3,3,533,Loyal Customers,2
CUST-00031,2025-07-19 19:14:35,2,1867.8,346,2,1,2,212,Hibernating / Lost,1
CUST-00032,2025-11-01 18:13:17,4,4842.11,241,2,3,5,235,At-Risk High Value,2
CUST-00033,2024-12-19 18:44:10,3,1201.8,558,1,2,1,121,Hibernating / Lost,3
CUST-00034,2025-10-12 21:25:27,2,2253.8500000000004,261,2,1,3,213,Hibernating / Lost,1
CUST-00035,2025-10-19 11:02:25,4,1717.7099999999998,254,2,3,2,232,At-Risk High Value,1
CUST-00036,2024-12-03 03:34:30,3,807.61,574,1,2,1,121,Hibernating / Lost,3
CUST-00037,2026-05-25 03:45:30,5,3556.88,36,5,4,4,544,VIP Champions,2
CUST-00038,2025-07-07 09:33:14,5,3673.3399999999997,358,1,4,4,144,At-Risk High Value,2
CUST-00039,2025-02-24 01:57:06,1,130.77,491,1,1,1,111,Hibernating / Lost,3
CUST-00040,2026-05-23 18:30:30,3,4912.889999999999,38,5,2,5,525,New / Recent Customers,2
CUST-00042,2025-08-02 02:49:02,4,2367.4700000000003,332,2,3,3,233,At-Risk High Value,1
CUST-00043,2026-06-06 00:58:11,4,2798.7000000000003,24,5,3,3,533,Loyal Customers,2
CUST-00044,2025-10-06 19:11:10,2,498.1,267,2,1,1,211,Hibernating / Lost,1
CUST-00045,2025-05-20 05:24:54,2,2665.05,406,1,1,3,113,Hibernating / Lost,3
CUST-00046,2025-06-17 08:05:07,3,1086.3400000000001,378,1,2,1,121,Hibernating / Lost,3
CUST-00047,2025-11-17 01:47:12,3,2621.76,225,2,2,3,223,Hibernating / Lost,1
CUST-00048,2025-08-16 01:52:34,4,4099.96,318,2,3,4,234,At-Risk High Value,2
CUST-00049,2026-04-11 05:14:10,6,4270.51,80,4,4,4,444,VIP Champions,2
CUST-00050,2026-05-08 01:43:29,3,1287.38,53,4,2,2,422,New / Recent Customers,1
CUST-00051,2024-08-21 14:50:31,2,1069.38,678,1,1,1,111,Hibernating / Lost,3
CUST-00052,2024-11-12 05:04:40,2,368.86,595,1,1,1,111,Hibernating / Lost,3
CUST-00053,2026-02-01 01:00:38,6,4467.27,149,3,4,4,344,Loyal Customers,2
CUST-00054,2026-04-28 01:19:53,4,884.26,63,4,3,1,431,Loyal Customers,1
CUST-00055,2026-05-30 05:50:26,9,3583.32,31,5,5,4,554,VIP Champions,2
CUST-00056,2026-05-05 02:48:50,5,1182.45,56,4,4,1,441,Loyal Customers,2
CUST-00057,2025-11-09 02:49:30,1,353.56,233,2,1,1,211,Hibernating / Lost,1
CUST-00058,2025-07-26 15:52:29,3,848.66,339,2,2,1,221,Hibernating / Lost,1
CUST-00059,2025-04-01 23:13:27,4,569.76,455,1,3,1,131,At-Risk High Value,3
CUST-00060,2026-05-17 05:31:47,3,3682.08,44,5,2,4,524,New / Recent Customers,1
CUST-00062,2025-11-13 03:56:50,1,1510.34,229,2,1,2,212,Hibernating / Lost,1
CUST-00063,2025-07-29 12:31:09,3,1844.49,336,2,2,2,222,Hibernating / Lost,1
CUST-00064,2026-05-09 17:41:18,7,4951.3,52,4,5,5,455,VIP Champions,2
CUST-00065,2026-03-28 10:37:30,1,573.6,94,4,1,1,411,New / Recent Customers,1
CUST-00066,2026-04-30 21:15:56,5,2975.67,61,4,4,3,443,Loyal Customers,2
CUST-00067,2025-09-17 22:46:16,3,1602.87,286,2,2,2,222,Hibernating / Lost,1
CUST-00068,2026-06-01 03:37:03,4,1968.58,29,5,3,2,532,Loyal Customers,1
CUST-00069,2025-08-30 01:40:43,4,1317.0,304,2,3,2,232,At-Risk High Value,1
CUST-00070,2026-01-03 13:32:25,3,2101.21,178,3,2,2,322,Hibernating / Lost,1
CUST-00071,2026-05-16 03:12:21,1,409.89,45,5,1,1,511,New / Recent Customers,1
CUST-00072,2026-04-25 15:52:47,6,6880.61,66,4,4,5,445,VIP Champions,0
CUST-00073,2026-03-17 17:14:20,4,2661.77,105,4,3,3,433,Loyal Customers,1
CUST-00074,2026-04-17 08:01:17,7,4064.04,74,4,5,4,454,VIP Champions,2
CUST-00075,2025-03-11 04:28:24,1,533.32,476,1,1,1,111,Hibernating / Lost,3
CUST-00076,2025-11-18 13:55:43,2,1172.1299999999999,224,2,1,1,211,Hibernating / Lost,1
CUST-00077,2026-04-18 04:56:35,4,6067.1,73,4,3,5,435,Loyal Customers,2
CUST-00078,2025-12-28 16:56:01,2,808.71,184,3,1,1,311,Hibernating / Lost,1
CUST-00079,2026-06-08 11:52:08,7,5608.77,22,5,5,5,555,VIP Champions,0
CUST-00080,2025-09-23 16:53:46,3,6051.64,280,2,2,5,225,Hibernating / Lost,2
CUST-00081,2025-09-16 14:03:36,3,5200.22,287,2,2,5,225,Hibernating / Lost,2
CUST-00082,2026-02-12 19:09:43,7,2847.5499999999997,138,3,5,3,353,Loyal Customers,2
CUST-00083,2026-06-13 08:00:08,4,2332.55,17,5,3,3,533,Loyal Customers,1
CUST-00084,2026-01-10 02:31:55,3,3258.24,171,3,2,4,324,Hibernating / Lost,1
CUST-00085,2026-05-30 06:42:23,7,3128.78,31,5,5,4,554,VIP Champions,2
CUST-00086,2025-06-30 18:29:55,4,4208.72,365,1,3,4,134,At-Risk High Value,2
CUST-00087,2026-03-16 15:37:49,4,2864.12,106,4,3,3,433,Loyal Customers,2
CUST-00088,2026-01-29 00:49:30,3,1029.48,152,3,2,1,321,Hibernating / Lost,1
CUST-00089,2026-03-20 11:40:54,4,1375.89,102,4,3,2,432,Loyal Customers,1
CUST-00090,2026-05-16 18:11:15,4,4419.09,45,5,3,4,534,Loyal Customers,2
CUST-00091,2025-02-25 21:52:36,3,1396.67,490,1,2,2,122,Hibernating / Lost,3
CUST-00092,2026-03-21 22:22:27,3,3006.94,101,4,2,3,423,New / Recent Customers,1
CUST-00093,2026-06-09 05:11:29,4,2050.19,21,5,3,2,532,Loyal Customers,1
CUST-00094,2025-12-21 17:49:13,8,6086.889999999999,191,3,5,5,355,Loyal Customers,0
CUST-00095,2025-05-07 09:34:11,2,1843.13,419,1,1,2,112,Hibernating / Lost,3
CUST-00096,2026-06-21 11:54:19,6,3184.57,9,5,4,4,544,VIP Champions,2
CUST-00097,2026-06-15 19:28:47,3,1586.67,15,5,2,2,522,New / Recent Customers,1
CUST-00098,2026-06-21 07:25:11,4,5713.23,9,5,3,5,535,Loyal Customers,2
CUST-00099,2025-11-02 09:25:04,4,7682.81,240,2,3,5,235,At-Risk High Value,0
CUST-00100,2025-06-12 01:30:01,3,2358.13,383,1,2,3,123,Hibernating / Lost,3
CUST-00101,2025-10-25 02:47:54,6,3265.57,248,2,4,4,244,At-Risk High Value,2
CUST-00102,2026-03-22 05:51:11,6,2233.16,100,4,4,3,443,Loyal Customers,2
CUST-00103,2026-06-16 05:53:59,4,3312.98,14,5,3,4,534,Loyal Customers,2
CUST-00104,2025-09-19 14:26:49,1,638.22,284,2,1,1,211,Hibernating / Lost,1
CUST-00105,2025-12-30 10:59:47,7,4664.53,182,3,5,4,354,Loyal Customers,2
CUST-00106,2026-04-25 01:40:06,5,3461.58,66,4,4,4,444,VIP Champions,2
CUST-00107,2025-11-15 15:37:19,2,859.6800000000001,227,2,1,1,211,Hibernating / Lost,1
CUST-00108,2024-11-05 07:28:24,2,1381.01,602,1,1,2,112,Hibernating / Lost,3
CUST-00109,2026-06-19 23:52:12,4,5155.59,11,5,3,5,535,Loyal Customers,2
CUST-00110,2024-07-19 02:17:18,2,3210.58,711,1,1,4,114,Hibernating / Lost,3
CUST-00111,2026-06-07 00:53:58,10,4062.63,23,5,5,4,554,VIP Champions,0
CUST-00112,2026-02-08 10:57:07,2,2828.8,142,3,1,3,313,Hibernating / Lost,1
CUST-00113,2026-04-21 17:02:52,3,3496.65,70,4,2,4,424,New / Recent Customers,1
CUST-00114,2024-11-04 01:56:59,4,2254.11,603,1,3,3,133,At-Risk High Value,3
CUST-00115,2025-11-17 21:50:51,5,3306.0,225,2,4,4,244,At-Risk High Value,2
CUST-00116,2025-11-06 03:45:02,2,2862.1400000000003,236,2,1,3,213,Hibernating / Lost,1
CUST-00117,2025-10-03 09:46:07,2,976.37,270,2,1,1,211,Hibernating / Lost,1
CUST-00118,2026-06-12 18:49:18,6,4152.19,18,5,4,4,544,VIP Champions,2
CUST-00119,2026-04-21 01:34:11,9,9017.539999999999,70,4,5,5,455,VIP Champions,0
CUST-00120,2025-08-27 12:06:53,2,972.37,307,2,1,1,211,Hibernating / Lost,1
CUST-00121,2026-02-09 10:46:22,7,3322.55,141,3,5,4,354,Loyal Customers,2
CUST-00122,2026-04-25 00:44:22,6,3580.83,66,4,4,4,444,VIP Champions,2
CUST-00123,2025-03-11 11:29:39,3,1276.6299999999999,476,1,2,2,122,Hibernating / Lost,3
CUST-00124,2026-04-03 09:08:43,2,1008.56,88,4,1,1,411,New / Recent Customers,1
CUST-00125,2026-04-24 00:41:10,4,1468.97,67,4,3,2,432,Loyal Customers,1
CUST-00126,2025-05-16 17:58:32,3,2747.9,410,1,2,3,123,Hibernating / Lost,3
CUST-00127,2026-05-17 09:42:32,5,3423.3799999999997,44,5,4,4,544,VIP Champions,2
CUST-00128,2025-09-28 22:14:02,4,1572.3400000000001,275,2,3,2,232,At-Risk High Value,1
CUST-00129,2026-06-19 07:56:51,3,2610.77,11,5,2,3,523,New / Recent Customers,1
CUST-00130,2026-03-24 07:41:05,2,1526.62,98,4,1,2,412,New / Recent Customers,1
CUST-00131,2026-06-10 15:42:44,4,2637.65,20,5,3,3,533,Loyal Customers,2
CUST-00132,2025-09-10 19:55:17,2,583.22,293,2,1,1,211,Hibernating / Lost,1
CUST-00133,2026-04-23 13:38:23,4,2371.8599999999997,68,4,3,3,433,Loyal Customers,1
CUST-00134,2025-07-23 16:34:50,3,1029.43,342,2,2,1,221,Hibernating / Lost,1
CUST-00135,2025-09-05 10:24:30,4,2642.9300000000003,298,2,3,3,233,At-Risk High Value,1
CUST-00136,2026-01-27 05:23:36,4,1483.3600000000001,154,3,3,2,332,Loyal Customers,1
CUST-00137,2025-09-23 20:03:52,3,2090.98,280,2,2,2,222,Hibernating / Lost,1
CUST-00138,2026-02-26 18:21:05,3,823.87,124,3,2,1,321,Hibernating / Lost,1
CUST-00140,2026-03-22 07:02:21,6,5022.32,100,4,4,5,445,VIP Champions,2
CUST-00141,2025-12-15 06:33:42,5,2944.33,197,3,4,3,343,Loyal Customers,2
CUST-00142,2026-06-03 09:16:17,4,2350.9900000000002,27,5,3,3,533,Loyal Customers,1
CUST-00143,2024-12-17 11:29:26,5,1800.28,560,1,4,2,142,At-Risk High Value,3
CUST-00144,2026-01-13 00:16:51,2,931.87,168,3,1,1,311,Hibernating / Lost,1
CUST-00146,2025-07-09 17:46:44,3,1396.96,356,2,2,2,222,Hibernating / Lost,1
CUST-00147,2026-01-27 20:48:44,6,5218.18,154,3,4,5,345,Loyal Customers,2
CUST-00148,2026-04-01 00:04:51,1,796.53,90,4,1,1,411,New / Recent Customers,1
CUST-00149,2026-01-09 11:54:04,2,493.73,172,3,1,1,311,Hibernating / Lost,1
CUST-00150,2026-02-21 13:43:47,1,2145.5,129,3,1,2,312,Hibernating / Lost,1
CUST-00151,2025-08-13 22:57:27,5,4813.0,321,2,4,5,245,At-Risk High Value,2
CUST-00152,2025-10-27 20:25:30,4,2769.2000000000003,246,2,3,3,233,At-Risk High Value,1
CUST-00153,2024-06-01 03:43:24,2,2402.6099999999997,759,1,1,3,113,Hibernating / Lost,3
CUST-00154,2026-06-01 04:47:31,4,4547.02,29,5,3,4,534,Loyal Customers,2
CUST-00155,2026-06-18 03:28:16,6,6893.05,12,5,4,5,545,VIP Champions,0
CUST-00156,2026-05-29 15:59:42,3,3694.61,32,5,2,4,524,New / Recent Customers,1
CUST-00157,2024-07-13 05:14:26,2,783.11,717,1,1,1,111,Hibernating / Lost,3
CUST-00158,2026-04-01 14:33:43,4,2321.35,90,4,3,3,433,Loyal Customers,1
CUST-00159,2025-08-12 10:41:59,6,5595.24,322,2,4,5,245,At-Risk High Value,2
CUST-00160,2026-03-29 13:58:07,8,5216.28,93,4,5,5,455,VIP Champions,0
CUST-00161,2026-05-06 14:37:24,5,2984.57,55,4,4,3,443,Loyal Customers,2
CUST-00162,2024-10-11 10:37:53,2,1066.76,627,1,1,1,111,Hibernating / Lost,3
CUST-00163,2026-01-30 13:56:54,4,1560.21,151,3,3,2,332,Loyal Customers,1
CUST-00164,2026-05-07 02:36:09,3,1272.75,54,4,2,2,422,New / Recent Customers,1
CUST-00165,2026-06-24 10:11:26,9,4783.6,6,5,5,5,555,VIP Champions,0
CUST-00166,2026-02-13 05:21:47,4,3378.45,137,3,3,4,334,Loyal Customers,2
CUST-00167,2025-03-30 13:30:57,4,1211.3999999999999,457,1,3,1,131,At-Risk High Value,3
CUST-00168,2026-06-27 09:15:32,5,4651.13,3,5,4,4,544,VIP Champions,2
CUST-00169,2026-03-10 12:55:31,3,3398.79,112,4,2,4,424,New / Recent Customers,1
CUST-00171,2026-05-13 10:05:55,4,1846.04,48,5,3,2,532,Loyal Customers,1
CUST-00172,2025-07-15 21:59:33,2,704.61,350,2,1,1,211,Hibernating / Lost,1
CUST-00173,2025-04-05 18:35:55,3,2760.49,451,1,2,3,123,Hibernating / Lost,3
CUST-00174,2026-06-12 19:14:53,7,3592.44,18,5,5,4,554,VIP Champions,2
CUST-00175,2026-05-27 17:42:06,5,5621.93,34,5,4,5,545,VIP Champions,2
CUST-00176,2025-12-25 18:20:58,5,4586.16,187,3,4,4,344,Loyal Customers,2
CUST-00177,2026-02-23 02:57:38,5,1565.69,127,3,4,2,342,Loyal Customers,2
CUST-00178,2025-12-17 16:38:08,4,6352.530000000001,195,3,3,5,335,Loyal Customers,2
CUST-00179,2025-12-03 07:56:48,6,5228.71,209,3,4,5,345,Loyal Customers,2
CUST-00180,2026-05-21 02:27:03,3,1765.37,40,5,2,2,522,New / Recent Customers,1
CUST-00181,2026-05-23 16:08:44,4,6340.88,38,5,3,5,535,Loyal Customers,2
CUST-00182,2026-06-01 09:03:57,3,1604.72,29,5,2,2,522,New / Recent Customers,1
CUST-00183,2026-02-25 06:34:36,4,1405.1299999999999,125,3,3,2,332,Loyal Customers,1
CUST-00184,2025-07-05 20:20:36,1,302.56,360,1,1,1,111,Hibernating / Lost,3
CUST-00185,2025-01-01 02:52:25,1,431.95,545,1,1,1,111,Hibernating / Lost,3
CUST-00186,2025-08-30 23:38:38,7,3661.94,304,2,5,4,254,At-Risk High Value,2
CUST-00187,2025-09-16 23:29:01,3,3088.8,287,2,2,3,223,Hibernating / Lost,1
CUST-00188,2025-01-20 14:07:06,3,4042.5099999999998,526,1,2,4,124,Hibernating / Lost,3
CUST-00189,2025-10-11 10:56:09,3,2167.62,262,2,2,3,223,Hibernating / Lost,1
CUST-00190,2026-05-29 08:45:02,2,1495.47,32,5,1,2,512,New / Recent Customers,1
CUST-00191,2025-07-28 17:24:46,3,1501.75,337,2,2,2,222,Hibernating / Lost,1
CUST-00192,2024-12-27 06:01:27,3,978.54,550,1,2,1,121,Hibernating / Lost,3
CUST-00193,2025-08-11 12:10:02,5,4895.34,323,2,4,5,245,At-Risk High Value,2
CUST-00194,2026-06-16 20:34:35,5,7625.32,14,5,4,5,545,VIP Champions,0
CUST-00195,2025-11-16 20:58:50,2,655.01,226,2,1,1,211,Hibernating / Lost,1
CUST-00196,2026-03-21 14:24:06,5,2854.99,101,4,4,3,443,Loyal Customers,2
CUST-00197,2025-11-18 04:24:33,6,1451.99,224,2,4,2,242,At-Risk High Value,2
CUST-00198,2025-09-23 16:18:03,3,3057.19,280,2,2,3,223,Hibernating / Lost,1
CUST-00199,2026-06-23 02:34:35,2,667.4300000000001,7,5,1,1,511,New / Recent Customers,1
CUST-00200,2025-11-30 06:23:43,6,2436.55,212,2,4,3,243,At-Risk High Value,2
CUST-00201,2026-06-06 02:02:02,3,1882.86,24,5,2,2,522,New / Recent Customers,1
CUST-00202,2025-05-13 21:41:00,4,2415.63,413,1,3,3,133,At-Risk High Value,3
CUST-00203,2024-04-11 00:25:39,2,1220.3,810,1,1,1,111,Hibernating / Lost,3
CUST-00204,2024-10-13 11:55:45,5,3315.7200000000003,625,1,4,4,144,At-Risk High Value,3
CUST-00205,2026-03-19 02:46:46,4,2415.13,103,4,3,3,433,Loyal Customers,1
CUST-00206,2026-04-29 00:42:32,6,3113.72,62,4,4,4,444,VIP Champions,2
CUST-00207,2026-04-24 06:34:32,6,2779.15,67,4,4,3,443,Loyal Customers,2
CUST-00208,2026-01-27 00:00:50,3,1180.1599999999999,154,3,2,1,321,Hibernating / Lost,1
CUST-00209,2025-03-07 01:04:33,5,5121.2699999999995,480,1,4,5,145,At-Risk High Value,2
CUST-00210,2025-12-17 10:56:29,6,5253.8,195,3,4,5,345,Loyal Customers,2
CUST-00211,2024-11-01 03:17:08,2,1413.6599999999999,606,1,1,2,112,Hibernating / Lost,3
CUST-00212,2026-06-07 01:14:46,7,2395.31,23,5,5,3,553,Loyal Customers,2
CUST-00213,2025-09-23 20:16:41,4,2163.23,280,2,3,3,233,At-Risk High Value,1
CUST-00214,2026-06-14 11:09:24,7,7043.1900000000005,16,5,5,5,555,VIP Champions,0
CUST-00215,2026-06-26 09:57:21,4,944.26,4,5,3,1,531,Loyal Customers,1
CUST-00216,2025-09-25 12:50:49,4,1270.29,278,2,3,2,232,At-Risk High Value,1
CUST-00217,2025-04-07 20:47:43,5,1325.58,449,1,4,2,142,At-Risk High Value,3
CUST-00218,2025-05-08 20:57:56,3,2959.3,418,1,2,3,123,Hibernating / Lost,3
CUST-00219,2026-03-27 20:16:34,6,6637.21,95,4,4,5,445,VIP Champions,0
CUST-00220,2025-05-13 18:27:33,4,2976.88,413,1,3,3,133,At-Risk High Value,3
CUST-00221,2025-06-29 07:08:32,4,2063.86,366,1,3,2,132,At-Risk High Value,1
CUST-00222,2026-06-12 13:53:47,3,2885.86,18,5,2,3,523,New / Recent Customers,1
CUST-00223,2025-11-09 18:30:50,5,2191.7400000000002,233,2,4,3,243,At-Risk High Value,2
CUST-00224,2026-05-28 05:23:53,3,653.03,33,5,2,1,521,New / Recent Customers,1
CUST-00225,2025-01-20 06:37:12,4,6838.639999999999,526,1,3,5,135,At-Risk High Value,3
CUST-00226,2026-06-06 05:50:28,5,2413.31,24,5,4,3,543,Loyal Customers,2
CUST-00227,2026-05-01 23:43:27,6,4906.41,60,4,4,5,445,VIP Champions,2
CUST-00228,2026-06-28 19:38:08,7,6469.84,2,5,5,5,555,VIP Champions,0
CUST-00229,2025-01-21 19:19:22,2,1524.35,525,1,1,2,112,Hibernating / Lost,3
CUST-00230,2026-04-07 04:44:18,7,4664.0,84,4,5,4,454,VIP Champions,2
CUST-00231,2026-06-10 11:13:09,8,8335.8,20,5,5,5,555,VIP Champions,0
CUST-00232,2024-11-25 03:07:41,2,796.86,582,1,1,1,111,Hibernating / Lost,3
CUST-00233,2025-11-03 19:40:30,7,3559.16,239,2,5,4,254,At-Risk High Value,2
CUST-00234,2025-06-14 10:22:01,5,3934.44,381,1,4,4,144,At-Risk High Value,2
CUST-00235,2026-05-01 07:17:41,6,3928.6800000000003,60,4,4,4,444,VIP Champions,2
CUST-00236,2024-11-30 21:41:15,2,1856.56,577,1,1,2,112,Hibernating / Lost,3
CUST-00237,2026-02-28 10:24:29,3,1106.88,122,3,2,1,321,Hibernating / Lost,1
CUST-00238,2026-05-28 14:08:57,3,3457.7,33,5,2,4,524,New / Recent Customers,1
CUST-00239,2026-04-07 12:37:25,4,3016.4,84,4,3,3,433,Loyal Customers,2
CUST-00240,2026-05-13 00:12:01,7,5182.38,48,5,5,5,555,VIP Champions,2
CUST-00241,2026-06-20 05:51:05,3,2247.29,10,5,2,3,523,New / Recent Customers,1
CUST-00242,2025-09-05 04:13:41,2,1255.47,298,2,1,2,212,Hibernating / Lost,1
CUST-00243,2026-01-02 12:09:56,3,2809.71,179,3,2,3,323,Hibernating / Lost,1
CUST-00244,2026-03-14 21:49:49,8,3947.0299999999997,108,4,5,4,454,VIP Champions,2
CUST-00245,2025-06-23 12:26:54,5,2656.14,372,1,4,3,143,At-Risk High Value,2
CUST-00246,2026-05-12 12:49:28,10,6906.45,49,5,5,5,555,VIP Champions,0
CUST-00247,2025-11-11 13:27:03,3,5300.65,231,2,2,5,225,Hibernating / Lost,2
CUST-00248,2026-03-09 13:24:02,6,4045.14,113,4,4,4,444,VIP Champions,2
CUST-00249,2026-06-17 03:38:37,7,5873.22,13,5,5,5,555,VIP Champions,0
CUST-00250,2026-06-29 10:38:15,6,2741.35,1,5,4,3,543,Loyal Customers,2
CUST-00251,2026-06-07 16:56:21,5,5170.63,23,5,4,5,545,VIP Champions,2
CUST-00252,2026-05-31 00:35:15,3,2938.03,30,5,2,3,523,New / Recent Customers,1
CUST-00253,2024-05-19 22:46:43,2,3212.4900000000002,772,1,1,4,114,Hibernating / Lost,3
CUST-00254,2025-08-03 09:41:26,2,1306.6599999999999,331,2,1,2,212,Hibernating / Lost,1
CUST-00255,2025-12-16 18:51:05,4,1565.44,196,3,3,2,332,Loyal Customers,1
CUST-00256,2026-03-05 21:34:54,6,2387.72,117,3,4,3,343,Loyal Customers,2
CUST-00257,2026-01-19 16:10:44,5,4373.76,162,3,4,4,344,Loyal Customers,2
CUST-00258,2024-09-29 23:39:26,3,3316.75,639,1,2,4,124,Hibernating / Lost,3
CUST-00259,2026-02-21 02:26:58,7,5100.53,129,3,5,5,355,Loyal Customers,2
CUST-00260,2025-05-04 12:14:43,5,3063.4900000000002,422,1,4,3,143,At-Risk High Value,2
CUST-00261,2026-01-27 07:34:13,5,5531.18,154,3,4,5,345,Loyal Customers,2
CUST-00262,2026-01-18 04:17:27,3,537.6,163,3,2,1,321,Hibernating / Lost,1
CUST-00263,2025-03-25 04:22:27,3,557.36,462,1,2,1,121,Hibernating / Lost,3
CUST-00264,2026-04-09 12:17:13,3,1854.49,82,4,2,2,422,New / Recent Customers,1
CUST-00265,2026-06-27 04:07:10,3,2616.4,3,5,2,3,523,New / Recent Customers,1
CUST-00266,2025-10-24 07:56:39,5,3515.68,249,2,4,4,244,At-Risk High Value,2
CUST-00267,2026-01-05 21:48:57,3,4682.29,176,3,2,4,324,Hibernating / Lost,2
CUST-00268,2026-05-28 15:43:33,6,2955.98,33,5,4,3,543,Loyal Customers,2
CUST-00269,2026-05-28 04:22:20,4,3265.79,33,5,3,4,534,Loyal Customers,2
CUST-00270,2026-05-11 01:58:13,7,7347.55,50,5,5,5,555,VIP Champions,0
CUST-00271,2025-11-02 09:36:32,7,8623.87,240,2,5,5,255,At-Risk High Value,0
CUST-00272,2025-01-06 22:17:48,3,2346.75,540,1,2,3,123,Hibernating / Lost,3
CUST-00273,2025-08-23 02:57:16,5,4071.34,311,2,4,4,244,At-Risk High Value,2
CUST-00274,2026-06-15 09:44:21,2,649.71,15,5,1,1,511,New / Recent Customers,1
CUST-00275,2025-12-17 21:11:20,2,1385.88,195,3,1,2,312,Hibernating / Lost,1
CUST-00276,2025-11-22 13:09:11,2,1764.6,220,2,1,2,212,Hibernating / Lost,1
CUST-00277,2026-06-15 19:45:35,5,2343.41,15,5,4,3,543,Loyal Customers,2
CUST-00278,2026-01-21 15:02:47,2,562.69,160,3,1,1,311,Hibernating / Lost,1
CUST-00279,2026-04-29 03:24:07,3,1429.83,62,4,2,2,422,New / Recent Customers,1
CUST-00280,2025-08-04 16:52:18,5,2149.94,330,2,4,2,242,At-Risk High Value,2
CUST-00281,2026-06-26 19:08:03,3,6113.03,4,5,2,5,525,New / Recent Customers,2
CUST-00283,2026-06-05 02:49:20,5,3530.58,25,5,4,4,544,VIP Champions,2
CUST-00284,2025-09-09 02:57:42,3,913.05,294,2,2,1,221,Hibernating / Lost,1
CUST-00285,2026-05-08 21:23:22,8,5565.62,53,4,5,5,455,VIP Champions,0
CUST-00286,2026-03-22 00:48:11,5,6231.05,100,4,4,5,445,VIP Champions,2
CUST-00287,2025-11-18 16:47:39,4,3355.3500000000004,224,2,3,4,234,At-Risk High Value,2
CUST-00288,2025-04-10 21:04:14,3,1586.22,446,1,2,2,122,Hibernating / Lost,3
CUST-00289,2024-11-05 18:32:03,1,87.22,602,1,1,1,111,Hibernating / Lost,3
CUST-00291,2025-12-28 00:41:22,6,3870.73,184,3,4,4,344,Loyal Customers,2
CUST-00292,2026-04-02 11:42:19,5,12132.96,89,4,4,5,445,VIP Champions,0
CUST-00293,2026-01-30 14:24:33,5,5138.610000000001,151,3,4,5,345,Loyal Customers,2
CUST-00294,2026-04-11 21:07:17,5,2229.87,80,4,4,3,443,Loyal Customers,2
