order_id,warehouse_id,courier_partner,shipping_date,delivery_date,delay_reason,delivery_status
ORD-000057,WH-02,Amazon Logistics,2024-01-04 22:45:48,2024-01-06 22:45:48,None,Delivered
ORD-000058,WH-08,USPS Priority,2024-01-06 05:26:51,2024-01-09 05:26:51,None,Delivered
ORD-000059,WH-06,UPS Ground,2024-01-05 19:13:48,2024-01-06 19:13:48,None,Delivered
ORD-000060,WH-07,FedEx Express,2024-01-06 11:18:03,2024-01-08 11:18:03,None,Delivered
ORD-000061,WH-05,UPS Ground,2024-01-05 02:54:05,2024-01-06 02:54:05,None,Delivered
ORD-000062,WH-05,DHL Supply Chain,2024-01-05 18:56:26,2024-01-07 18:56:26,None,Delivered
ORD-000064,WH-06,DHL Supply Chain,2024-01-06 03:48:12,2024-01-14 03:48:12,Traffic & Vehicle Breakdown,Delayed
ORD-000066,WH-01,UPS Ground,2024-01-05 13:13:08,2024-01-07 13:13:08,None,Delivered
ORD-000067,WH-04,FedEx Express,2024-01-05 20:51:26,2024-01-06 20:51:26,None,Delivered
ORD-000069,WH-01,UPS Ground,2024-01-05 21:36:42,2024-01-06 21:36:42,None,Delivered
ORD-000070,WH-08,Amazon Logistics,2024-01-06 07:13:37,2024-01-08 07:13:37,None,Delivered
ORD-000071,WH-02,USPS Priority,2024-01-06 20:03:00,2024-01-12 20:03:00,Warehouse Bottleneck,Delayed
ORD-000072,WH-07,FedEx Express,2024-01-06 11:18:49,2024-01-09 11:18:49,None,Delivered
ORD-000073,WH-07,DHL Supply Chain,2024-01-07 02:51:22,2024-01-10 02:51:22,None,Delivered
ORD-000074,WH-01,UPS Ground,2024-01-06 01:35:30,2024-01-08 01:35:30,None,Delivered
ORD-000075,WH-06,UPS Ground,2024-01-06 05:36:11,2024-01-07 05:36:11,None,Delivered
ORD-000076,WH-07,FedEx Express,2024-01-07 07:00:16,2024-01-09 07:00:16,None,Delivered
ORD-000077,WH-08,DHL Supply Chain,2024-01-06 07:51:02,2024-01-08 07:51:02,None,Delivered
ORD-000078,WH-05,Amazon Logistics,2024-01-06 01:49:57,2024-01-07 01:49:57,None,Delivered
ORD-000079,WH-06,DHL Supply Chain,2024-01-06 11:59:16,2024-01-08 11:59:16,None,Delivered
ORD-000080,WH-06,UPS Ground,2024-01-07 04:32:28,2024-01-09 04:32:28,None,Delivered
ORD-000081,WH-03,UPS Ground,2024-01-06 03:36:39,2024-01-08 03:36:39,None,Delivered
ORD-000082,WH-04,USPS Priority,2024-01-06 19:00:16,2024-01-09 19:00:16,None,Delivered
ORD-000083,WH-01,Amazon Logistics,2024-01-06 01:49:57,2024-01-07 01:49:57,None,Delivered
ORD-000084,WH-08,DHL Supply Chain,2024-01-07 10:39:41,2024-01-16 10:39:41,Traffic & Vehicle Breakdown,Delayed
ORD-000085,WH-01,DHL Supply Chain,2024-01-06 21:07:30,2024-01-09 21:07:30,None,Delivered
ORD-000087,WH-07,DHL Supply Chain,2024-01-06 10:12:49,2024-01-08 10:12:49,None,Delivered
ORD-000088,WH-05,FedEx Express,2024-01-06 22:48:19,2024-01-07 22:48:19,None,Delivered
ORD-000089,WH-07,UPS Ground,2024-01-07 07:56:20,2024-01-17 07:56:20,Traffic & Vehicle Breakdown,Delayed
ORD-000090,WH-06,FedEx Express,2024-01-07 10:05:05,2024-01-09 10:05:05,None,Delivered
ORD-000091,WH-08,FedEx Express,2024-01-06 16:25:35,2024-01-08 16:25:35,None,Delivered
ORD-000092,WH-04,FedEx Express,2024-01-07 10:13:15,2024-01-08 10:13:15,None,Delivered
ORD-000093,WH-06,FedEx Express,2024-01-08 03:40:26,2024-01-11 03:40:26,None,Delivered
ORD-000094,WH-02,DHL Supply Chain,2024-01-07 19:57:31,2024-01-10 19:57:31,None,Delivered
ORD-000095,WH-01,FedEx Express,2024-01-06 14:32:32,2024-01-08 14:32:32,None,Delivered
ORD-000096,WH-03,UPS Ground,2024-01-08 02:47:57,2024-01-09 02:47:57,None,Delivered
ORD-000097,WH-05,Amazon Logistics,2024-01-07 14:59:09,2024-01-14 14:59:09,Incorrect Address,Delayed
ORD-000098,WH-07,DHL Supply Chain,2024-01-06 19:14:17,2024-01-07 19:14:17,None,Delivered
ORD-000099,WH-06,Amazon Logistics,2024-01-07 22:04:43,2024-01-09 22:04:43,None,Delivered
ORD-000100,WH-01,FedEx Express,2024-01-07 18:05:03,2024-01-08 18:05:03,None,Delivered
ORD-000101,WH-04,FedEx Express,2024-01-08 01:50:12,2024-01-10 01:50:12,None,Delivered
ORD-000102,WH-04,Amazon Logistics,2024-01-07 11:45:23,2024-01-14 11:45:23,Traffic & Vehicle Breakdown,Delayed
ORD-000103,WH-04,USPS Priority,2024-01-07 04:12:28,2024-01-09 04:12:28,None,Delivered
ORD-000106,WH-02,DHL Supply Chain,2024-01-08 20:28:59,2024-01-09 20:28:59,None,Delivered
ORD-000107,WH-03,UPS Ground,2024-01-08 12:38:26,2024-01-10 12:38:26,None,Delivered
ORD-000108,WH-05,UPS Ground,2024-01-07 20:00:17,2024-01-10 20:00:17,None,Delivered
ORD-000109,WH-08,UPS Ground,2024-01-08 23:51:44,2024-01-10 23:51:44,None,Delivered
ORD-000110,WH-06,UPS Ground,2024-01-08 08:25:04,2024-01-10 08:25:04,None,Delivered
ORD-000111,WH-01,FedEx Express,2024-01-08 19:32:30,2024-01-09 19:32:30,None,Delivered
ORD-000113,WH-07,FedEx Express,2024-01-08 20:37:50,2024-01-09 20:37:50,None,Delivered
ORD-000114,WH-08,FedEx Express,2024-01-09 10:15:11,2024-01-19 10:15:11,Warehouse Bottleneck,Delayed
ORD-000115,WH-06,FedEx Express,2024-01-08 10:46:32,2024-01-11 10:46:32,None,Delivered
ORD-000116,WH-05,FedEx Express,2024-01-09 21:57:04,2024-01-10 21:57:04,None,Delivered
ORD-000117,WH-08,FedEx Express,2024-01-08 13:42:22,2024-01-11 13:42:22,None,Delivered
ORD-000118,WH-07,FedEx Express,2024-01-10 08:40:28,2024-01-13 08:40:28,None,Delivered
ORD-000120,WH-07,FedEx Express,2024-01-10 14:09:01,2024-01-11 14:09:01,None,Delivered
ORD-000121,WH-07,DHL Supply Chain,2024-01-09 21:13:37,2024-01-10 21:13:37,None,Delivered
ORD-000122,WH-02,FedEx Express,2024-01-09 21:21:17,2024-01-12 21:21:17,None,Delivered
ORD-000123,WH-01,USPS Priority,2024-01-10 02:53:07,2024-01-20 02:53:07,Incorrect Address,Delayed
ORD-000124,WH-03,DHL Supply Chain,2024-01-10 05:21:34,2024-01-11 05:21:34,None,Delivered
ORD-000125,WH-03,USPS Priority,2024-01-10 05:57:22,2024-01-15 05:57:22,Traffic & Vehicle Breakdown,Delayed
ORD-000126,WH-06,DHL Supply Chain,2024-01-09 13:19:00,2024-01-10 13:19:00,None,Delivered
ORD-000127,WH-08,FedEx Express,2024-01-09 05:32:01,2024-01-10 05:32:01,None,Delivered
ORD-000128,WH-07,Amazon Logistics,2024-01-09 20:46:41,2024-01-10 20:46:41,None,Delivered
ORD-000129,WH-07,FedEx Express,2024-01-10 17:10:13,2024-01-11 17:10:13,None,Delivered
ORD-000130,WH-04,FedEx Express,2024-01-11 00:21:07,2024-01-14 00:21:07,None,Delivered
ORD-000131,WH-04,FedEx Express,2024-01-09 11:22:10,2024-01-10 11:22:10,None,Delivered
ORD-000132,WH-06,UPS Ground,2024-01-10 02:13:22,2024-01-13 02:13:22,None,Delivered
ORD-000133,WH-01,DHL Supply Chain,2024-01-09 16:05:40,2024-01-12 16:05:40,None,Delivered
ORD-000134,WH-07,FedEx Express,2024-01-10 14:29:35,2024-01-17 14:29:35,Incorrect Address,Delayed
ORD-000135,WH-03,DHL Supply Chain,2024-01-09 16:40:46,2024-01-12 16:40:46,None,Delivered
ORD-000136,WH-08,USPS Priority,2024-01-10 03:48:45,2024-01-16 03:48:45,Incorrect Address,Delayed
ORD-000137,WH-03,UPS Ground,2024-01-10 12:39:13,2024-01-13 12:39:13,None,Delivered
ORD-000138,WH-05,FedEx Express,2024-01-11 13:43:50,2024-01-12 13:43:50,None,Delivered
ORD-000139,WH-03,DHL Supply Chain,2024-01-11 16:52:25,2024-01-14 16:52:25,None,Delivered
ORD-000140,WH-02,UPS Ground,2024-01-11 02:19:30,2024-01-12 02:19:30,None,Delivered
ORD-000141,WH-07,FedEx Express,2024-01-11 03:28:35,2024-01-12 03:28:35,None,Delivered
ORD-000142,WH-07,DHL Supply Chain,2024-01-11 15:29:13,2024-01-14 15:29:13,None,Delivered
ORD-000143,WH-05,DHL Supply Chain,2024-01-11 18:13:54,2024-01-12 18:13:54,None,Delivered
ORD-000144,WH-06,FedEx Express,2024-01-11 21:37:14,2024-01-12 21:37:14,None,Delivered
ORD-000145,WH-02,UPS Ground,2024-01-11 05:53:36,2024-01-13 05:53:36,None,Delivered
ORD-000146,WH-03,USPS Priority,2024-01-11 22:59:40,2024-01-13 22:59:40,None,Delivered
ORD-000147,WH-01,UPS Ground,2024-01-10 19:38:10,2024-01-11 19:38:10,None,Delivered
ORD-000148,WH-02,USPS Priority,2024-01-11 14:01:40,2024-01-19 14:01:40,Customs Delay,Delayed
ORD-000149,WH-07,UPS Ground,2024-01-12 01:56:17,2024-01-14 01:56:17,None,Delivered
ORD-000150,WH-01,Amazon Logistics,2024-01-11 02:17:12,2024-01-20 02:17:12,Incorrect Address,Delayed
ORD-000152,WH-01,Amazon Logistics,2024-01-12 01:08:25,2024-01-13 01:08:25,None,Delivered
ORD-000153,WH-08,DHL Supply Chain,2024-01-11 02:08:36,2024-01-14 02:08:36,None,Delivered
ORD-000154,WH-03,FedEx Express,2024-01-12 10:54:17,2024-01-15 10:54:17,None,Delivered
ORD-000155,WH-03,FedEx Express,2024-01-12 14:17:54,2024-01-14 14:17:54,None,Delivered
ORD-000156,WH-05,USPS Priority,2024-01-12 06:54:34,2024-01-13 06:54:34,None,Delivered
ORD-000157,WH-01,DHL Supply Chain,2024-01-12 03:27:30,2024-01-15 03:27:30,None,Delivered
ORD-000158,WH-06,UPS Ground,2024-01-12 11:21:44,2024-01-15 11:21:44,None,Delivered
ORD-000159,WH-08,UPS Ground,2024-01-12 15:22:49,2024-01-13 15:22:49,None,Delivered
ORD-000160,WH-07,UPS Ground,2024-01-12 10:53:33,2024-01-20 10:53:33,Weather Disruption,Delayed
ORD-000161,WH-07,UPS Ground,2024-01-11 07:59:28,2024-01-13 07:59:28,None,Delivered
ORD-000162,WH-07,DHL Supply Chain,2024-01-12 02:19:07,2024-01-15 02:19:07,None,Delivered
ORD-000163,WH-01,Amazon Logistics,2024-01-12 12:21:58,2024-01-13 12:21:58,None,Delivered
ORD-000164,WH-04,FedEx Express,2024-01-12 19:30:11,2024-01-13 19:30:11,None,Delivered
ORD-000165,WH-03,UPS Ground,2024-01-12 08:09:34,2024-01-14 08:09:34,None,Delivered
ORD-000166,WH-05,UPS Ground,2024-01-11 23:50:04,2024-01-14 23:50:04,None,Delivered
ORD-000167,WH-07,FedEx Express,2024-01-12 22:58:55,2024-01-15 22:58:55,None,Delivered
ORD-000168,WH-05,FedEx Express,2024-01-12 06:36:09,2024-01-15 06:36:09,None,Delivered
ORD-000169,WH-08,Amazon Logistics,2024-01-11 12:29:35,2024-01-15 12:29:35,Warehouse Bottleneck,Delayed
ORD-000170,WH-03,FedEx Express,2024-01-12 09:44:26,2024-01-14 09:44:26,None,Delivered
ORD-000171,WH-04,UPS Ground,2024-01-12 16:46:59,2024-01-15 16:46:59,None,Delivered
ORD-000172,WH-02,FedEx Express,2024-01-12 01:36:10,2024-01-14 01:36:10,None,Delivered
ORD-000173,WH-06,FedEx Express,2024-01-12 11:37:42,2024-01-20 11:37:42,Warehouse Bottleneck,Delayed
ORD-000174,WH-08,Amazon Logistics,2024-01-12 21:47:26,2024-01-15 21:47:26,None,Delivered
ORD-000175,WH-01,DHL Supply Chain,2024-01-12 12:38:25,2024-01-15 12:38:25,None,Delivered
ORD-000176,WH-08,Amazon Logistics,2024-01-11 23:21:56,2024-01-13 23:21:56,None,Delivered
ORD-000177,WH-04,DHL Supply Chain,2024-01-13 00:20:51,2024-01-16 00:20:51,None,Delivered
ORD-000178,WH-05,DHL Supply Chain,2024-01-12 06:07:16,2024-01-13 06:07:16,None,Delivered
ORD-000179,WH-07,UPS Ground,2024-01-12 21:14:38,2024-01-13 21:14:38,None,Delivered
ORD-000180,WH-08,DHL Supply Chain,2024-01-13 05:01:37,2024-01-15 05:01:37,None,Delivered
ORD-000182,WH-01,USPS Priority,2024-01-13 00:25:45,2024-01-16 00:25:45,None,Delivered
ORD-000183,WH-05,DHL Supply Chain,2024-01-13 18:30:29,2024-01-14 18:30:29,None,Delivered
ORD-000184,WH-06,UPS Ground,2024-01-13 22:44:43,2024-01-15 22:44:43,None,Delivered
ORD-000185,WH-04,UPS Ground,2024-01-13 20:48:01,2024-01-16 20:48:01,None,Delivered
ORD-000186,WH-07,UPS Ground,2024-01-13 15:00:50,2024-01-14 15:00:50,None,Delivered
ORD-000187,WH-03,DHL Supply Chain,2024-01-13 04:01:32,2024-01-15 04:01:32,None,Delivered
ORD-000188,WH-07,Amazon Logistics,2024-01-13 22:18:04,2024-01-16 22:18:04,None,Delivered
ORD-000189,WH-07,Amazon Logistics,2024-01-13 11:20:05,2024-01-14 11:20:05,None,Delivered
ORD-000190,WH-06,USPS Priority,2024-01-14 06:30:23,2024-01-16 06:30:23,None,Delivered
ORD-000191,WH-03,USPS Priority,2024-01-13 06:30:31,2024-01-15 06:30:31,None,Delivered
ORD-000192,WH-03,FedEx Express,2024-01-14 13:26:07,2024-01-15 13:26:07,None,Delivered
ORD-000193,WH-03,UPS Ground,2024-01-14 01:32:23,2024-01-15 01:32:23,None,Delivered
ORD-000194,WH-01,Amazon Logistics,2024-01-14 00:11:54,2024-01-15 00:11:54,None,Delivered
ORD-000195,WH-08,USPS Priority,2024-01-14 14:16:08,2024-01-15 14:16:08,None,Delivered
ORD-000196,WH-04,FedEx Express,2024-01-14 04:11:56,2024-01-17 04:11:56,None,Delivered
ORD-000197,WH-03,USPS Priority,2024-01-14 22:34:28,2024-01-17 22:34:28,None,Delivered
ORD-000198,WH-04,FedEx Express,2024-01-13 23:28:12,2024-01-16 23:28:12,None,Delivered
ORD-000199,WH-08,UPS Ground,2024-01-14 11:36:59,2024-01-16 11:36:59,None,Delivered
ORD-000200,WH-08,UPS Ground,2024-01-14 15:04:12,2024-01-16 15:04:12,None,Delivered
ORD-000201,WH-07,Amazon Logistics,2024-01-13 11:15:15,2024-01-14 11:15:15,None,Delivered
ORD-000202,WH-05,Amazon Logistics,2024-01-14 21:08:04,2024-01-17 21:08:04,None,Delivered
ORD-000203,WH-05,USPS Priority,2024-01-15 02:39:34,2024-01-16 02:39:34,None,Delivered
ORD-000204,WH-06,Amazon Logistics,2024-01-14 01:09:54,2024-01-17 01:09:54,None,Delivered
ORD-000205,WH-04,DHL Supply Chain,2024-01-15 03:22:13,2024-01-20 03:22:13,Traffic & Vehicle Breakdown,Delayed
ORD-000206,WH-01,FedEx Express,2024-01-13 16:20:19,2024-01-17 16:20:19,Warehouse Bottleneck,Delayed
ORD-000207,WH-05,FedEx Express,2024-01-13 19:07:25,2024-01-16 19:07:25,None,Delivered
ORD-000208,WH-08,FedEx Express,2024-01-14 18:18:46,2024-01-17 18:18:46,None,Delivered
ORD-000209,WH-02,USPS Priority,2024-01-14 13:32:36,2024-01-17 13:32:36,None,Delivered
ORD-000210,WH-04,DHL Supply Chain,2024-01-14 02:25:24,2024-01-17 02:25:24,None,Delivered
ORD-000211,WH-02,USPS Priority,2024-01-14 15:44:48,2024-01-15 15:44:48,None,Delivered
ORD-000212,WH-04,Amazon Logistics,2024-01-15 13:30:06,2024-01-17 13:30:06,None,Delivered
ORD-000213,WH-06,USPS Priority,2024-01-14 15:14:46,2024-01-17 15:14:46,None,Delivered
ORD-000214,WH-08,Amazon Logistics,2024-01-14 14:20:40,2024-01-22 14:20:40,Incorrect Address,Delayed
ORD-000215,WH-07,UPS Ground,2024-01-15 23:31:14,2024-01-18 23:31:14,None,Delivered
ORD-000216,WH-07,FedEx Express,2024-01-15 02:50:10,2024-01-18 02:50:10,None,Delivered
ORD-000217,WH-03,FedEx Express,2024-01-15 02:06:35,2024-01-17 02:06:35,None,Delivered
ORD-000218,WH-03,DHL Supply Chain,2024-01-14 11:31:30,2024-01-15 11:31:30,None,Delivered
ORD-000219,WH-06,FedEx Express,2024-01-15 00:09:57,2024-01-22 00:09:57,Traffic & Vehicle Breakdown,Delayed
ORD-000221,WH-07,UPS Ground,2024-01-16 00:18:58,2024-01-17 00:18:58,None,Delivered
ORD-000222,WH-05,UPS Ground,2024-01-16 02:11:30,2024-01-18 02:11:30,None,Delivered
ORD-000223,WH-03,FedEx Express,2024-01-16 05:55:52,2024-01-19 05:55:52,None,Delivered
ORD-000224,WH-01,Amazon Logistics,2024-01-16 11:05:34,2024-01-18 11:05:34,None,Delivered
ORD-000225,WH-07,Amazon Logistics,2024-01-16 08:13:52,2024-01-17 08:13:52,None,Delivered
ORD-000226,WH-02,FedEx Express,2024-01-16 04:22:26,2024-01-17 04:22:26,None,Delivered
ORD-000227,WH-01,FedEx Express,2024-01-16 02:27:50,2024-01-18 02:27:50,None,Delivered
ORD-000228,WH-02,FedEx Express,2024-01-16 07:43:25,2024-01-18 07:43:25,None,Delivered
ORD-000230,WH-08,DHL Supply Chain,2024-01-15 13:45:16,2024-01-18 13:45:16,None,Delivered
ORD-000231,WH-05,USPS Priority,2024-01-15 08:01:13,2024-01-17 08:01:13,None,Delivered
ORD-000232,WH-08,UPS Ground,2024-01-16 00:29:05,2024-01-17 00:29:05,None,Delivered
ORD-000233,WH-06,UPS Ground,2024-01-15 23:21:50,2024-01-18 23:21:50,None,Delivered
ORD-000234,WH-04,FedEx Express,2024-01-16 16:34:22,2024-01-18 16:34:22,None,Delivered
ORD-000235,WH-07,UPS Ground,2024-01-15 17:56:17,2024-01-22 17:56:17,Traffic & Vehicle Breakdown,Delayed
ORD-000236,WH-08,FedEx Express,2024-01-16 01:10:58,2024-01-17 01:10:58,None,Delivered
ORD-000237,WH-08,UPS Ground,2024-01-16 11:45:28,2024-01-23 11:45:28,Weather Disruption,Delayed
ORD-000238,WH-03,FedEx Express,2024-01-15 17:26:52,2024-01-17 17:26:52,None,Delivered
ORD-000239,WH-02,FedEx Express,2024-01-17 06:05:21,2024-01-19 06:05:21,None,Delivered
ORD-000240,WH-04,DHL Supply Chain,2024-01-16 07:18:52,2024-01-17 07:18:52,None,Delivered
ORD-000241,WH-05,FedEx Express,2024-01-16 09:05:28,2024-01-18 09:05:28,None,Delivered
ORD-000242,WH-05,UPS Ground,2024-01-17 02:25:51,2024-01-20 02:25:51,None,Delivered
ORD-000243,WH-01,UPS Ground,2024-01-16 18:06:59,2024-01-17 18:06:59,None,Delivered
ORD-000244,WH-08,Amazon Logistics,2024-01-17 12:00:22,2024-01-18 12:00:22,None,Delivered
ORD-000245,WH-04,USPS Priority,2024-01-16 23:08:39,2024-01-17 23:08:39,None,Delivered
ORD-000246,WH-08,UPS Ground,2024-01-17 05:30:18,2024-01-20 05:30:18,None,Delivered
ORD-000247,WH-02,DHL Supply Chain,2024-01-17 09:36:02,2024-01-20 09:36:02,None,Delivered
ORD-000248,WH-06,FedEx Express,2024-01-16 09:35:02,2024-01-17 09:35:02,None,Delivered
ORD-000249,WH-03,UPS Ground,2024-01-17 14:56:22,2024-01-18 14:56:22,None,Delivered
ORD-000250,WH-05,DHL Supply Chain,2024-01-17 04:29:24,2024-01-19 04:29:24,None,Delivered
ORD-000251,WH-01,DHL Supply Chain,2024-01-17 20:41:56,2024-01-20 20:41:56,None,Delivered
ORD-000252,WH-06,DHL Supply Chain,2024-01-17 14:52:43,2024-01-23 14:52:43,Incorrect Address,Delayed
ORD-000253,WH-02,DHL Supply Chain,2024-01-16 12:54:18,2024-01-18 12:54:18,None,Delivered
ORD-000254,WH-05,USPS Priority,2024-01-17 03:09:37,2024-01-20 03:09:37,None,Delivered
ORD-000255,WH-07,FedEx Express,2024-01-18 05:27:43,2024-01-21 05:27:43,None,Delivered
ORD-000256,WH-02,DHL Supply Chain,2024-01-17 12:43:54,2024-01-24 12:43:54,Traffic & Vehicle Breakdown,Delayed
ORD-000257,WH-01,DHL Supply Chain,2024-01-16 15:12:57,2024-01-19 15:12:57,None,Delivered
ORD-000258,WH-04,FedEx Express,2024-01-16 12:48:14,2024-01-18 12:48:14,None,Delivered
ORD-000259,WH-05,FedEx Express,2024-01-16 20:34:28,2024-01-17 20:34:28,None,Delivered
ORD-000260,WH-04,DHL Supply Chain,2024-01-18 04:16:24,2024-01-21 04:16:24,None,Delivered
ORD-000261,WH-03,UPS Ground,2024-01-17 01:54:53,2024-01-25 01:54:53,Weather Disruption,Delayed
ORD-000262,WH-04,UPS Ground,2024-01-18 04:21:59,2024-01-19 04:21:59,None,Delivered
ORD-000263,WH-01,Amazon Logistics,2024-01-17 06:56:49,2024-01-20 06:56:49,None,Delivered
ORD-000264,WH-07,FedEx Express,2024-01-18 13:40:41,2024-01-21 13:40:41,None,Delivered
ORD-000265,WH-01,DHL Supply Chain,2024-01-18 16:03:26,2024-01-21 16:03:26,None,Delivered
ORD-000266,WH-01,DHL Supply Chain,2024-01-17 07:48:58,2024-01-18 07:48:58,None,Delivered
ORD-000267,WH-06,UPS Ground,2024-01-17 05:34:38,2024-01-19 05:34:38,None,Delivered
ORD-000268,WH-05,FedEx Express,2024-01-18 21:18:18,2024-01-21 21:18:18,None,Delivered
ORD-000269,WH-04,FedEx Express,2024-01-17 16:47:10,2024-01-19 16:47:10,None,Delivered
ORD-000270,WH-07,FedEx Express,2024-01-17 12:55:16,2024-01-18 12:55:16,None,Delivered
ORD-000271,WH-08,DHL Supply Chain,2024-01-18 02:35:31,2024-01-19 02:35:31,None,Delivered
