campaign_id,customer_id,campaign_type,marketing_cost,conversion_status,revenue_generated
CMP-00083,CUST-01280,Affiliate Promo,71.99,Converted,510.95
CMP-00084,CUST-00208,Influencer Sponsor,64.9,Not Converted,0.0
CMP-00085,CUST-01825,Meta Paid Ads,66.91,Converted,390.38
CMP-00086,CUST-00460,Google PPC,47.16,Not Converted,0.0
CMP-00087,CUST-01594,Google PPC,83.8,Not Converted,0.0
CMP-00088,CUST-00333,Google PPC,66.49,Converted,383.74
CMP-00089,CUST-01128,Google PPC,75.73,Not Converted,0.0
CMP-00090,CUST-03204,Meta Paid Ads,72.48,Not Converted,0.0
CMP-00091,CUST-02588,Affiliate Promo,60.93,Not Converted,0.0
CMP-00092,CUST-02081,Email Retargeting,73.46,Not Converted,0.0
CMP-00093,CUST-03028,Email Retargeting,14.76,Converted,71.99
CMP-00094,CUST-00131,Email Retargeting,8.87,Converted,70.57
CMP-00095,CUST-01089,Meta Paid Ads,67.31,Not Converted,0.0
CMP-00096,CUST-02999,Influencer Sponsor,8.1,Not Converted,0.0
CMP-00097,CUST-02174,Google PPC,73.24,Converted,487.03
CMP-00098,CUST-00189,Email Retargeting,80.08,Not Converted,0.0
CMP-00099,CUST-01318,Influencer Sponsor,36.95,Not Converted,0.0
CMP-00100,CUST-01884,Affiliate Promo,69.64,Not Converted,0.0
CMP-00101,CUST-03257,Email Retargeting,35.25,Not Converted,0.0
CMP-00102,CUST-00084,Google PPC,79.89,Not Converted,0.0
CMP-00103,CUST-01847,Google PPC,45.74,Not Converted,0.0
CMP-00104,CUST-01651,Email Retargeting,26.23,Not Converted,0.0
CMP-00105,CUST-01598,Email Retargeting,72.28,Not Converted,0.0
CMP-00106,CUST-00183,Google PPC,34.5,Not Converted,0.0
CMP-00107,CUST-03026,Meta Paid Ads,25.5,Converted,69.92
CMP-00108,CUST-01466,Google PPC,35.16,Not Converted,0.0
CMP-00109,CUST-02646,Google PPC,57.95,Converted,422.49
CMP-00110,CUST-00486,Google PPC,75.36,Converted,451.32
CMP-00111,CUST-00538,Affiliate Promo,49.56,Not Converted,0.0
CMP-00112,CUST-02299,Influencer Sponsor,8.07,Not Converted,0.0
CMP-00113,CUST-02581,Email Retargeting,11.91,Converted,86.58
CMP-00114,CUST-00119,Email Retargeting,20.59,Not Converted,0.0
CMP-00115,CUST-01311,Email Retargeting,74.16,Not Converted,0.0
CMP-00116,CUST-01359,Email Retargeting,59.3,Not Converted,0.0
CMP-00117,CUST-00722,Google PPC,28.19,Not Converted,0.0
CMP-00118,CUST-02481,Influencer Sponsor,33.73,Not Converted,0.0
CMP-00119,CUST-00334,Email Retargeting,21.28,Not Converted,0.0
CMP-00120,CUST-00469,Google PPC,13.64,Not Converted,0.0
CMP-00121,CUST-02852,Email Retargeting,21.72,Converted,118.85
CMP-00122,CUST-01665,Meta Paid Ads,57.94,Not Converted,0.0
CMP-00123,CUST-02903,Email Retargeting,40.84,Not Converted,0.0
CMP-00124,CUST-00216,Google PPC,22.93,Not Converted,0.0
CMP-00125,CUST-00480,Meta Paid Ads,25.62,Not Converted,0.0
CMP-00126,CUST-01072,Affiliate Promo,60.57,Not Converted,0.0
CMP-00127,CUST-01873,Affiliate Promo,9.71,Not Converted,0.0
CMP-00128,CUST-00467,Google PPC,11.63,Not Converted,0.0
CMP-00129,CUST-02825,Meta Paid Ads,16.88,Not Converted,0.0
CMP-00130,CUST-02913,Email Retargeting,45.52,Converted,351.14
CMP-00131,CUST-02786,Affiliate Promo,43.85,Converted,203.51
CMP-00132,CUST-00605,Google PPC,81.76,Converted,539.26
CMP-00133,CUST-00406,Meta Paid Ads,12.4,Not Converted,0.0
CMP-00134,CUST-00520,Email Retargeting,73.5,Not Converted,0.0
CMP-00135,CUST-00213,Affiliate Promo,69.77,Not Converted,0.0
CMP-00136,CUST-00875,Google PPC,24.32,Converted,78.89
CMP-00137,CUST-01392,Email Retargeting,34.34,Not Converted,0.0
CMP-00138,CUST-03301,Meta Paid Ads,62.52,Not Converted,0.0
CMP-00139,CUST-02038,Google PPC,35.05,Not Converted,0.0
CMP-00140,CUST-00770,Google PPC,69.15,Not Converted,0.0
CMP-00141,CUST-01787,Email Retargeting,15.84,Not Converted,0.0
CMP-00142,CUST-01747,Email Retargeting,78.16,Not Converted,0.0
CMP-00143,CUST-00494,Email Retargeting,59.62,Not Converted,0.0
CMP-00144,CUST-03335,Google PPC,15.02,Not Converted,0.0
CMP-00145,CUST-00093,Google PPC,28.06,Not Converted,0.0
CMP-00146,CUST-03428,Google PPC,76.69,Not Converted,0.0
CMP-00147,CUST-02373,Email Retargeting,28.45,Not Converted,0.0
CMP-00148,CUST-00349,Influencer Sponsor,54.02,Not Converted,0.0
CMP-00149,CUST-00040,Email Retargeting,79.3,Not Converted,0.0
CMP-00150,CUST-01729,Google PPC,80.66,Not Converted,0.0
CMP-00151,CUST-02085,Email Retargeting,38.39,Not Converted,0.0
CMP-00152,CUST-03325,Google PPC,30.11,Not Converted,0.0
CMP-00153,CUST-02451,Email Retargeting,21.78,Not Converted,0.0
CMP-00154,CUST-02858,Meta Paid Ads,80.29,Not Converted,0.0
CMP-00155,CUST-02509,Meta Paid Ads,26.83,Converted,150.87
CMP-00156,CUST-01731,Meta Paid Ads,45.15,Not Converted,0.0
CMP-00157,CUST-02099,Meta Paid Ads,51.84,Converted,328.81
CMP-00158,CUST-00921,Google PPC,63.01,Converted,462.73
CMP-00159,CUST-03296,Email Retargeting,29.4,Converted,134.18
CMP-00160,CUST-00983,Email Retargeting,82.26,Not Converted,0.0
CMP-00161,CUST-03060,Google PPC,29.57,Not Converted,0.0
CMP-00162,CUST-03139,Meta Paid Ads,66.92,Not Converted,0.0
CMP-00163,CUST-01691,Google PPC,19.11,Not Converted,0.0
CMP-00164,CUST-02479,Affiliate Promo,84.59,Not Converted,0.0
CMP-00165,CUST-00637,Email Retargeting,43.56,Converted,115.5
CMP-00166,CUST-00333,Influencer Sponsor,8.05,Not Converted,0.0
CMP-00167,CUST-00056,Influencer Sponsor,27.19,Not Converted,0.0
CMP-00168,CUST-01573,Affiliate Promo,24.96,Not Converted,0.0
CMP-00169,CUST-01816,Affiliate Promo,16.03,Converted,119.26
CMP-00170,CUST-00232,Email Retargeting,71.05,Not Converted,0.0
CMP-00171,CUST-00212,Email Retargeting,40.58,Not Converted,0.0
CMP-00172,CUST-03080,Google PPC,77.08,Not Converted,0.0
CMP-00173,CUST-00697,Email Retargeting,80.69,Not Converted,0.0
CMP-00174,CUST-02261,Email Retargeting,57.31,Converted,367.1
CMP-00175,CUST-00058,Influencer Sponsor,83.22,Converted,235.4
CMP-00176,CUST-02624,Influencer Sponsor,35.44,Not Converted,0.0
CMP-00177,CUST-00801,Meta Paid Ads,27.13,Converted,208.68
CMP-00178,CUST-00293,Influencer Sponsor,37.93,Not Converted,0.0
CMP-00179,CUST-01706,Affiliate Promo,67.84,Converted,436.55
CMP-00180,CUST-02941,Influencer Sponsor,57.0,Not Converted,0.0
CMP-00181,CUST-02214,Google PPC,27.85,Not Converted,0.0
CMP-00182,CUST-00816,Email Retargeting,37.59,Not Converted,0.0
CMP-00183,CUST-02848,Google PPC,80.49,Converted,475.73
CMP-00184,CUST-02586,Email Retargeting,6.88,Not Converted,0.0
CMP-00185,CUST-01527,Influencer Sponsor,52.39,Not Converted,0.0
CMP-00186,CUST-00119,Meta Paid Ads,33.55,Not Converted,0.0
CMP-00187,CUST-00688,Meta Paid Ads,71.65,Converted,532.51
CMP-00188,CUST-00572,Google PPC,11.66,Not Converted,0.0
CMP-00189,CUST-01218,Influencer Sponsor,59.64,Converted,384.09
CMP-00190,CUST-03398,Affiliate Promo,23.37,Not Converted,0.0
CMP-00191,CUST-00004,Influencer Sponsor,39.59,Not Converted,0.0
CMP-00192,CUST-02178,Affiliate Promo,31.19,Not Converted,0.0
CMP-00193,CUST-01868,Meta Paid Ads,58.18,Not Converted,0.0
CMP-00194,CUST-01002,Email Retargeting,56.51,Not Converted,0.0
CMP-00195,CUST-00022,Meta Paid Ads,71.28,Not Converted,0.0
CMP-00196,CUST-00360,Google PPC,62.56,Converted,438.97
CMP-00197,CUST-02097,Influencer Sponsor,24.18,Not Converted,0.0
CMP-00198,CUST-00889,Affiliate Promo,63.23,Not Converted,0.0
CMP-00199,CUST-01845,Meta Paid Ads,69.94,Not Converted,0.0
CMP-00200,CUST-01238,Influencer Sponsor,21.92,Not Converted,0.0
CMP-00201,CUST-03319,Meta Paid Ads,70.31,Not Converted,0.0
CMP-00202,CUST-01365,Meta Paid Ads,51.38,Not Converted,0.0
CMP-00203,CUST-03257,Email Retargeting,67.26,Converted,188.07
CMP-00204,CUST-02178,Meta Paid Ads,66.64,Converted,506.32
CMP-00205,CUST-00490,Meta Paid Ads,46.94,Not Converted,0.0
CMP-00206,CUST-02754,Email Retargeting,36.87,Converted,111.38
CMP-00207,CUST-00326,Google PPC,16.84,Not Converted,0.0
CMP-00208,CUST-02046,Email Retargeting,20.68,Not Converted,0.0
CMP-00209,CUST-02131,Meta Paid Ads,28.65,Not Converted,0.0
CMP-00210,CUST-00821,Meta Paid Ads,68.37,Not Converted,0.0
CMP-00211,CUST-01460,Affiliate Promo,11.72,Not Converted,0.0
CMP-00212,CUST-01497,Email Retargeting,39.05,Not Converted,0.0
CMP-00213,CUST-02205,Email Retargeting,23.79,Not Converted,0.0
CMP-00214,CUST-00520,Affiliate Promo,84.85,Not Converted,0.0
CMP-00215,CUST-02172,Affiliate Promo,77.77,Not Converted,0.0
CMP-00216,CUST-02072,Affiliate Promo,19.65,Not Converted,0.0
CMP-00217,CUST-01678,Email Retargeting,32.12,Not Converted,0.0
CMP-00218,CUST-01012,Meta Paid Ads,41.78,Not Converted,0.0
CMP-00219,CUST-00861,Affiliate Promo,21.11,Not Converted,0.0
CMP-00220,CUST-00435,Email Retargeting,70.31,Not Converted,0.0
CMP-00221,CUST-03337,Google PPC,41.25,Not Converted,0.0
CMP-00222,CUST-01130,Meta Paid Ads,73.75,Converted,589.95
CMP-00223,CUST-03476,Affiliate Promo,73.14,Not Converted,0.0
CMP-00224,CUST-00918,Email Retargeting,16.69,Not Converted,0.0
CMP-00225,CUST-02562,Meta Paid Ads,50.09,Not Converted,0.0
CMP-00226,CUST-03310,Influencer Sponsor,18.79,Not Converted,0.0
CMP-00227,CUST-02934,Affiliate Promo,6.59,Converted,23.48
CMP-00228,CUST-00834,Google PPC,81.94,Not Converted,0.0
CMP-00229,CUST-01327,Influencer Sponsor,60.17,Not Converted,0.0
CMP-00230,CUST-02123,Influencer Sponsor,30.58,Not Converted,0.0
CMP-00231,CUST-02347,Meta Paid Ads,73.48,Converted,454.17
CMP-00232,CUST-00002,Influencer Sponsor,65.32,Not Converted,0.0
CMP-00233,CUST-02584,Google PPC,59.16,Converted,307.32
CMP-00234,CUST-00502,Influencer Sponsor,17.06,Not Converted,0.0
CMP-00235,CUST-02280,Affiliate Promo,39.76,Not Converted,0.0
CMP-00236,CUST-00895,Google PPC,68.74,Not Converted,0.0
CMP-00237,CUST-01742,Google PPC,15.81,Not Converted,0.0
CMP-00238,CUST-03386,Influencer Sponsor,54.31,Not Converted,0.0
CMP-00239,CUST-03165,Affiliate Promo,74.72,Converted,223.61
CMP-00240,CUST-02648,Influencer Sponsor,28.99,Not Converted,0.0
CMP-00241,CUST-02133,Meta Paid Ads,35.31,Not Converted,0.0
CMP-00242,CUST-02615,Influencer Sponsor,76.13,Converted,377.29
CMP-00243,CUST-01203,Email Retargeting,33.9,Not Converted,0.0
CMP-00244,CUST-01515,Email Retargeting,60.88,Converted,236.76
CMP-00245,CUST-02142,Influencer Sponsor,22.42,Not Converted,0.0
CMP-00246,CUST-01929,Email Retargeting,74.66,Not Converted,0.0
CMP-00247,CUST-01545,Google PPC,22.61,Not Converted,0.0
CMP-00248,CUST-03495,Meta Paid Ads,74.68,Not Converted,0.0
CMP-00249,CUST-03434,Google PPC,18.1,Not Converted,0.0
CMP-00250,CUST-02639,Meta Paid Ads,46.7,Not Converted,0.0
CMP-00251,CUST-03339,Meta Paid Ads,49.13,Converted,195.1
CMP-00252,CUST-01476,Influencer Sponsor,57.42,Not Converted,0.0
CMP-00253,CUST-01476,Meta Paid Ads,32.12,Not Converted,0.0
CMP-00254,CUST-01008,Google PPC,49.24,Not Converted,0.0
CMP-00255,CUST-01037,Google PPC,55.12,Not Converted,0.0
CMP-00256,CUST-00423,Influencer Sponsor,70.16,Converted,266.87
CMP-00257,CUST-02640,Google PPC,82.24,Not Converted,0.0
CMP-00258,CUST-03062,Email Retargeting,19.57,Not Converted,0.0
CMP-00259,CUST-00079,Google PPC,77.57,Not Converted,0.0
CMP-00260,CUST-01050,Meta Paid Ads,60.29,Not Converted,0.0
CMP-00261,CUST-00853,Email Retargeting,16.91,Not Converted,0.0
CMP-00262,CUST-00163,Affiliate Promo,28.17,Not Converted,0.0
CMP-00263,CUST-02784,Meta Paid Ads,59.43,Not Converted,0.0
CMP-00264,CUST-03418,Email Retargeting,51.97,Not Converted,0.0
CMP-00265,CUST-02353,Email Retargeting,36.76,Converted,198.53
CMP-00266,CUST-01261,Influencer Sponsor,13.18,Not Converted,0.0
CMP-00267,CUST-00785,Affiliate Promo,11.57,Converted,50.83
CMP-00268,CUST-02085,Google PPC,32.85,Not Converted,0.0
CMP-00269,CUST-02625,Email Retargeting,45.48,Not Converted,0.0
CMP-00270,CUST-03019,Email Retargeting,58.44,Not Converted,0.0
CMP-00271,CUST-01595,Affiliate Promo,55.94,Converted,180.74
CMP-00272,CUST-03085,Google PPC,15.24,Not Converted,0.0
CMP-00273,CUST-00192,Google PPC,80.77,Not Converted,0.0
CMP-00274,CUST-03426,Google PPC,10.83,Not Converted,0.0
CMP-00275,CUST-02811,Google PPC,75.04,Not Converted,0.0
CMP-00276,CUST-01674,Email Retargeting,64.08,Not Converted,0.0
CMP-00277,CUST-03283,Google PPC,41.05,Not Converted,0.0
CMP-00278,CUST-01069,Influencer Sponsor,82.87,Not Converted,0.0
CMP-00279,CUST-02090,Email Retargeting,37.29,Not Converted,0.0
CMP-00280,CUST-02817,Email Retargeting,33.15,Not Converted,0.0
CMP-00281,CUST-01967,Email Retargeting,64.87,Not Converted,0.0
CMP-00282,CUST-01737,Meta Paid Ads,31.37,Not Converted,0.0
CMP-00283,CUST-03371,Meta Paid Ads,71.16,Not Converted,0.0
CMP-00284,CUST-03220,Influencer Sponsor,68.32,Not Converted,0.0
CMP-00285,CUST-03396,Google PPC,43.47,Not Converted,0.0
CMP-00286,CUST-01227,Meta Paid Ads,35.15,Not Converted,0.0
CMP-00287,CUST-02455,Meta Paid Ads,67.35,Converted,203.56
CMP-00288,CUST-03346,Google PPC,54.6,Not Converted,0.0
CMP-00289,CUST-03163,Google PPC,52.83,Not Converted,0.0
CMP-00290,CUST-01991,Meta Paid Ads,76.32,Not Converted,0.0
CMP-00291,CUST-03397,Google PPC,73.38,Converted,227.13
CMP-00292,CUST-01627,Meta Paid Ads,40.41,Not Converted,0.0
CMP-00293,CUST-01782,Influencer Sponsor,44.36,Not Converted,0.0
CMP-00294,CUST-03328,Influencer Sponsor,27.48,Not Converted,0.0
CMP-00295,CUST-02117,Meta Paid Ads,7.68,Not Converted,0.0
CMP-00296,CUST-02502,Email Retargeting,65.27,Not Converted,0.0
CMP-00297,CUST-00363,Email Retargeting,5.25,Not Converted,0.0
CMP-00298,CUST-01173,Affiliate Promo,14.8,Not Converted,0.0
CMP-00299,CUST-00930,Email Retargeting,22.62,Not Converted,0.0
CMP-00300,CUST-01160,Google PPC,83.03,Not Converted,0.0
CMP-00301,CUST-01764,Email Retargeting,75.25,Not Converted,0.0
CMP-00302,CUST-01347,Meta Paid Ads,58.82,Not Converted,0.0
CMP-00303,CUST-01123,Influencer Sponsor,74.55,Not Converted,0.0
CMP-00304,CUST-03396,Influencer Sponsor,63.93,Not Converted,0.0
CMP-00305,CUST-02161,Google PPC,69.74,Not Converted,0.0
CMP-00306,CUST-02802,Google PPC,56.88,Converted,293.88
CMP-00307,CUST-02677,Influencer Sponsor,8.27,Not Converted,0.0
CMP-00308,CUST-02755,Google PPC,5.14,Not Converted,0.0
CMP-00309,CUST-02785,Google PPC,8.38,Converted,27.06
CMP-00310,CUST-01974,Email Retargeting,26.09,Not Converted,0.0
CMP-00311,CUST-00327,Email Retargeting,78.5,Not Converted,0.0
CMP-00312,CUST-00887,Email Retargeting,17.3,Not Converted,0.0
CMP-00313,CUST-00436,Meta Paid Ads,46.77,Not Converted,0.0
CMP-00314,CUST-00514,Meta Paid Ads,19.59,Not Converted,0.0
CMP-00315,CUST-02101,Google PPC,5.24,Not Converted,0.0
CMP-00316,CUST-02413,Google PPC,57.99,Not Converted,0.0
CMP-00317,CUST-00931,Google PPC,5.32,Converted,33.28
CMP-00318,CUST-02113,Email Retargeting,49.83,Not Converted,0.0
CMP-00319,CUST-02308,Email Retargeting,34.25,Not Converted,0.0
CMP-00320,CUST-01161,Meta Paid Ads,61.04,Not Converted,0.0
CMP-00321,CUST-03081,Email Retargeting,80.78,Not Converted,0.0
CMP-00322,CUST-02092,Meta Paid Ads,55.57,Not Converted,0.0
CMP-00323,CUST-00071,Influencer Sponsor,27.79,Converted,81.09
CMP-00324,CUST-02844,Meta Paid Ads,18.42,Not Converted,0.0
CMP-00325,CUST-00993,Email Retargeting,32.09,Not Converted,0.0
CMP-00326,CUST-00337,Affiliate Promo,71.96,Not Converted,0.0
CMP-00327,CUST-01309,Meta Paid Ads,69.99,Not Converted,0.0
CMP-00328,CUST-00656,Google PPC,35.3,Not Converted,0.0
CMP-00329,CUST-01245,Email Retargeting,74.43,Not Converted,0.0
CMP-00330,CUST-00925,Meta Paid Ads,21.51,Not Converted,0.0
CMP-00331,CUST-02030,Influencer Sponsor,26.55,Not Converted,0.0
CMP-00332,CUST-00340,Meta Paid Ads,66.38,Converted,459.59
CMP-00333,CUST-01530,Influencer Sponsor,62.72,Not Converted,0.0
CMP-00334,CUST-00606,Meta Paid Ads,45.9,Converted,138.16
CMP-00335,CUST-03174,Email Retargeting,14.42,Not Converted,0.0
CMP-00336,CUST-02583,Meta Paid Ads,7.64,Converted,39.38
CMP-00337,CUST-00797,Email Retargeting,18.55,Not Converted,0.0
CMP-00338,CUST-01387,Email Retargeting,52.95,Converted,241.59
CMP-00339,CUST-02820,Google PPC,22.73,Not Converted,0.0
CMP-00340,CUST-02354,Google PPC,67.75,Not Converted,0.0
CMP-00341,CUST-02244,Google PPC,16.18,Converted,91.4
CMP-00342,CUST-02872,Influencer Sponsor,51.33,Converted,140.55
CMP-00343,CUST-00433,Google PPC,22.03,Not Converted,0.0
CMP-00344,CUST-02392,Google PPC,31.07,Not Converted,0.0
CMP-00345,CUST-02133,Email Retargeting,29.18,Not Converted,0.0
CMP-00346,CUST-00694,Email Retargeting,60.67,Not Converted,0.0
CMP-00347,CUST-02177,Email Retargeting,14.38,Not Converted,0.0
CMP-00348,CUST-01163,Influencer Sponsor,6.72,Not Converted,0.0
CMP-00349,CUST-01887,Google PPC,37.37,Converted,143.64
CMP-00350,CUST-00563,Google PPC,23.09,Not Converted,0.0
CMP-00351,CUST-01216,Email Retargeting,39.32,Not Converted,0.0
CMP-00352,CUST-00461,Influencer Sponsor,52.26,Not Converted,0.0
CMP-00353,CUST-02690,Meta Paid Ads,58.7,Not Converted,0.0
CMP-00354,CUST-00431,Google PPC,73.05,Not Converted,0.0
CMP-00355,CUST-00620,Google PPC,31.25,Not Converted,0.0
CMP-00356,CUST-01129,Email Retargeting,11.94,Converted,51.18
CMP-00357,CUST-02541,Influencer Sponsor,67.64,Not Converted,0.0
CMP-00358,CUST-02783,Affiliate Promo,51.93,Converted,190.01
CMP-00359,CUST-02121,Email Retargeting,22.74,Not Converted,0.0
CMP-00360,CUST-02803,Email Retargeting,44.75,Not Converted,0.0
CMP-00361,CUST-03096,Meta Paid Ads,63.38,Not Converted,0.0
CMP-00362,CUST-02897,Influencer Sponsor,13.72,Not Converted,0.0
CMP-00363,CUST-01182,Google PPC,58.2,Not Converted,0.0
CMP-00364,CUST-01304,Email Retargeting,45.56,Not Converted,0.0
CMP-00365,CUST-02131,Google PPC,46.53,Not Converted,0.0
CMP-00366,CUST-02137,Affiliate Promo,53.1,Converted,321.73
CMP-00367,CUST-00773,Email Retargeting,49.27,Not Converted,0.0
CMP-00368,CUST-01609,Email Retargeting,63.14,Converted,390.12
CMP-00369,CUST-03172,Email Retargeting,32.22,Not Converted,0.0
CMP-00370,CUST-03113,Meta Paid Ads,32.58,Not Converted,0.0
CMP-00371,CUST-01927,Email Retargeting,19.9,Not Converted,0.0
CMP-00372,CUST-01103,Google PPC,34.03,Converted,146.68
CMP-00373,CUST-00781,Affiliate Promo,46.32,Not Converted,0.0
CMP-00374,CUST-01058,Google PPC,70.17,Not Converted,0.0
CMP-00375,CUST-00888,Google PPC,8.04,Not Converted,0.0
CMP-00376,CUST-02634,Influencer Sponsor,63.3,Not Converted,0.0
CMP-00377,CUST-00560,Google PPC,10.0,Not Converted,0.0
CMP-00378,CUST-00812,Email Retargeting,78.51,Not Converted,0.0
CMP-00379,CUST-01168,Meta Paid Ads,69.11,Not Converted,0.0
CMP-00380,CUST-02622,Email Retargeting,45.94,Converted,249.95
CMP-00381,CUST-00169,Google PPC,42.17,Not Converted,0.0
CMP-00382,CUST-00946,Meta Paid Ads,10.04,Not Converted,0.0
CMP-00383,CUST-00931,Meta Paid Ads,9.19,Not Converted,0.0
CMP-00384,CUST-02218,Influencer Sponsor,39.69,Not Converted,0.0
CMP-00385,CUST-01629,Google PPC,27.62,Not Converted,0.0
CMP-00386,CUST-02877,Affiliate Promo,30.87,Not Converted,0.0
CMP-00387,CUST-02599,Google PPC,46.21,Not Converted,0.0
CMP-00388,CUST-01322,Meta Paid Ads,30.92,Converted,241.85
