ticket_id,customer_id,issue_type,resolution_time,satisfaction_score,refund_requested
TCK-000043,CUST-00184,Late Delivery,16.3,1,Yes
TCK-000044,CUST-01541,Account Security,9.7,4,No
TCK-000045,CUST-02080,Account Security,7.1,4,No
TCK-000046,CUST-03015,Late Delivery,24.4,2,No
TCK-000047,CUST-00872,Damaged Item,63.4,2,Yes
TCK-000048,CUST-00145,Damaged Item,25.8,1,No
TCK-000049,CUST-00451,Damaged Item,28.8,2,Yes
TCK-000050,CUST-02918,Damaged Item,47.7,4,No
TCK-000051,CUST-02201,Damaged Item,45.3,5,Yes
TCK-000052,CUST-00434,Wrong Item Sent,17.9,3,No
TCK-000053,CUST-02533,Late Delivery,34.2,1,Yes
TCK-000054,CUST-02041,Payment Issue,14.7,4,No
TCK-000055,CUST-01213,Late Delivery,31.9,1,No
TCK-000056,CUST-03194,Damaged Item,28.8,2,No
TCK-000057,CUST-02655,Late Delivery,54.4,2,No
TCK-000058,CUST-00587,Wrong Item Sent,10.1,5,No
TCK-000059,CUST-01118,Wrong Item Sent,17.1,5,Yes
TCK-000060,CUST-01366,Damaged Item,46.0,4,Yes
TCK-000061,CUST-00928,Late Delivery,68.2,2,No
TCK-000062,CUST-02017,Wrong Item Sent,21.7,2,Yes
TCK-000063,CUST-01535,Damaged Item,66.0,2,No
TCK-000064,CUST-02430,Refund Inquiry,4.3,4,Yes
TCK-000065,CUST-02968,Payment Issue,18.7,2,No
TCK-000066,CUST-03031,Damaged Item,19.2,1,No
TCK-000067,CUST-02867,Damaged Item,52.5,2,Yes
TCK-000068,CUST-00641,Wrong Item Sent,24.0,4,No
TCK-000069,CUST-02473,Late Delivery,26.8,4,No
TCK-000070,CUST-00993,Late Delivery,12.4,1,Yes
TCK-000071,CUST-02491,Payment Issue,10.6,4,Yes
TCK-000072,CUST-03059,Wrong Item Sent,15.1,2,No
TCK-000073,CUST-01162,Late Delivery,65.0,2,No
TCK-000074,CUST-00125,Damaged Item,35.5,1,Yes
TCK-000075,CUST-01721,Account Security,11.0,3,No
TCK-000076,CUST-00262,Damaged Item,22.7,1,No
TCK-000077,CUST-03178,Late Delivery,55.8,1,No
TCK-000078,CUST-03207,Late Delivery,20.2,3,Yes
TCK-000079,CUST-03011,Late Delivery,48.6,2,Yes
TCK-000080,CUST-00704,Late Delivery,12.2,3,Yes
TCK-000081,CUST-02219,Late Delivery,30.8,1,Yes
TCK-000082,CUST-00860,Payment Issue,18.8,2,No
TCK-000083,CUST-02602,Late Delivery,59.8,1,Yes
TCK-000084,CUST-02055,Account Security,16.5,4,Yes
TCK-000085,CUST-02858,Late Delivery,55.8,4,No
TCK-000086,CUST-01752,Damaged Item,29.8,1,Yes
TCK-000087,CUST-02743,Payment Issue,17.7,5,Yes
TCK-000088,CUST-03424,Late Delivery,47.4,3,Yes
TCK-000089,CUST-00067,Wrong Item Sent,18.7,4,No
TCK-000090,CUST-00095,Wrong Item Sent,13.6,4,No
TCK-000091,CUST-02230,Wrong Item Sent,10.3,5,No
TCK-000092,CUST-01603,Late Delivery,23.4,3,Yes
TCK-000093,CUST-03051,Late Delivery,28.0,1,No
TCK-000094,CUST-00575,Late Delivery,50.7,3,Yes
TCK-000095,CUST-02423,Refund Inquiry,17.4,2,No
TCK-000096,CUST-01809,Late Delivery,35.8,5,Yes
TCK-000097,CUST-01354,Account Security,18.9,4,No
TCK-000098,CUST-02306,Refund Inquiry,20.6,2,No
TCK-000099,CUST-01592,Late Delivery,16.1,1,No
TCK-000100,CUST-01821,Payment Issue,15.2,5,No
TCK-000101,CUST-00243,Payment Issue,17.6,5,No
TCK-000102,CUST-02477,Payment Issue,12.5,5,Yes
TCK-000103,CUST-03045,Account Security,3.1,4,No
TCK-000104,CUST-03374,Refund Inquiry,18.5,2,No
TCK-000105,CUST-03031,Payment Issue,5.7,4,Yes
TCK-000106,CUST-03376,Late Delivery,33.7,1,Yes
TCK-000107,CUST-01663,Wrong Item Sent,11.6,3,No
TCK-000108,CUST-03324,Wrong Item Sent,3.5,3,Yes
TCK-000109,CUST-01869,Payment Issue,23.5,3,No
TCK-000110,CUST-02226,Damaged Item,44.5,2,Yes
TCK-000111,CUST-02340,Late Delivery,59.8,2,Yes
TCK-000112,CUST-01037,Late Delivery,36.0,2,No
TCK-000113,CUST-02730,Wrong Item Sent,21.7,5,No
TCK-000114,CUST-02331,Payment Issue,4.7,3,Yes
TCK-000115,CUST-03064,Payment Issue,22.4,3,No
TCK-000116,CUST-02965,Late Delivery,12.0,1,Yes
TCK-000117,CUST-00207,Wrong Item Sent,16.7,3,No
TCK-000118,CUST-01183,Late Delivery,28.0,1,Yes
TCK-000119,CUST-02543,Wrong Item Sent,17.9,2,No
TCK-000120,CUST-01154,Damaged Item,62.8,1,Yes
TCK-000121,CUST-00147,Payment Issue,3.2,3,No
TCK-000122,CUST-01712,Damaged Item,35.8,1,Yes
TCK-000123,CUST-02233,Late Delivery,48.6,2,No
TCK-000124,CUST-01144,Late Delivery,12.0,2,Yes
TCK-000125,CUST-02390,Late Delivery,71.7,1,Yes
TCK-000126,CUST-03214,Damaged Item,32.6,2,No
TCK-000127,CUST-00330,Damaged Item,39.5,2,Yes
TCK-000128,CUST-00731,Damaged Item,67.9,1,Yes
TCK-000129,CUST-02214,Account Security,6.5,5,No
TCK-000130,CUST-02558,Payment Issue,16.4,4,No
TCK-000131,CUST-00114,Late Delivery,45.0,1,Yes
TCK-000132,CUST-03009,Account Security,23.2,3,No
TCK-000133,CUST-01461,Account Security,12.0,2,No
TCK-000134,CUST-00793,Refund Inquiry,16.1,1,No
TCK-000135,CUST-03222,Late Delivery,23.4,3,Yes
TCK-000136,CUST-02128,Late Delivery,40.0,1,Yes
TCK-000137,CUST-03438,Account Security,19.3,1,No
TCK-000138,CUST-01994,Refund Inquiry,6.8,5,No
TCK-000139,CUST-02113,Late Delivery,65.0,4,No
TCK-000140,CUST-00006,Damaged Item,55.7,1,No
TCK-000141,CUST-01959,Account Security,8.6,3,No
TCK-000142,CUST-02324,Late Delivery,16.7,3,Yes
TCK-000143,CUST-00660,Late Delivery,71.3,1,No
TCK-000144,CUST-03264,Damaged Item,34.6,3,No
TCK-000145,CUST-00478,Late Delivery,14.7,5,Yes
TCK-000146,CUST-00833,Late Delivery,31.7,1,Yes
TCK-000147,CUST-00340,Refund Inquiry,21.6,3,No
TCK-000148,CUST-01184,Damaged Item,27.1,1,Yes
TCK-000149,CUST-01320,Damaged Item,65.9,3,No
TCK-000150,CUST-02032,Late Delivery,34.3,1,Yes
TCK-000151,CUST-00948,Account Security,13.7,5,No
TCK-000152,CUST-00357,Damaged Item,47.9,1,No
TCK-000153,CUST-01049,Refund Inquiry,23.6,3,Yes
TCK-000154,CUST-02463,Wrong Item Sent,4.0,3,No
TCK-000155,CUST-00237,Wrong Item Sent,15.9,3,No
TCK-000156,CUST-03123,Payment Issue,16.8,2,Yes
TCK-000157,CUST-00716,Damaged Item,38.2,1,Yes
TCK-000158,CUST-01104,Late Delivery,37.1,1,Yes
TCK-000159,CUST-01844,Wrong Item Sent,12.6,4,No
TCK-000160,CUST-02217,Account Security,7.2,2,Yes
TCK-000161,CUST-00554,Late Delivery,46.5,3,Yes
TCK-000162,CUST-02697,Account Security,9.1,5,No
TCK-000163,CUST-01885,Wrong Item Sent,3.0,5,No
TCK-000164,CUST-01498,Refund Inquiry,5.4,5,No
TCK-000165,CUST-03411,Refund Inquiry,12.6,4,No
TCK-000166,CUST-01297,Payment Issue,21.8,4,No
TCK-000167,CUST-01738,Refund Inquiry,12.5,4,No
TCK-000168,CUST-01098,Late Delivery,40.5,1,No
TCK-000169,CUST-02997,Account Security,23.7,5,No
TCK-000170,CUST-01593,Late Delivery,24.8,3,Yes
TCK-000171,CUST-02008,Late Delivery,36.5,4,No
TCK-000172,CUST-02444,Damaged Item,48.6,1,Yes
TCK-000173,CUST-00040,Account Security,17.5,3,No
TCK-000174,CUST-01310,Payment Issue,10.2,4,No
TCK-000175,CUST-01368,Wrong Item Sent,22.8,5,No
TCK-000176,CUST-01504,Wrong Item Sent,7.1,3,No
TCK-000177,CUST-02233,Damaged Item,40.7,3,Yes
TCK-000178,CUST-02158,Damaged Item,32.8,2,No
TCK-000179,CUST-03084,Wrong Item Sent,2.5,2,Yes
TCK-000180,CUST-01368,Late Delivery,25.4,1,No
TCK-000181,CUST-00124,Wrong Item Sent,13.2,4,No
TCK-000182,CUST-01762,Late Delivery,39.2,2,No
TCK-000183,CUST-01466,Late Delivery,34.4,1,Yes
TCK-000184,CUST-00220,Refund Inquiry,19.6,5,No
TCK-000185,CUST-00244,Late Delivery,48.0,2,Yes
TCK-000186,CUST-00462,Payment Issue,4.4,5,No
TCK-000187,CUST-00814,Payment Issue,16.5,3,Yes
TCK-000188,CUST-01710,Late Delivery,32.9,2,No
TCK-000189,CUST-01305,Damaged Item,66.6,1,No
TCK-000190,CUST-01465,Wrong Item Sent,5.5,2,Yes
TCK-000191,CUST-01951,Late Delivery,27.0,4,No
TCK-000192,CUST-02841,Late Delivery,55.3,1,No
TCK-000193,CUST-02297,Damaged Item,25.0,3,No
TCK-000194,CUST-00981,Damaged Item,36.6,2,Yes
TCK-000195,CUST-01930,Account Security,15.8,4,No
TCK-000196,CUST-03171,Payment Issue,18.2,3,No
TCK-000197,CUST-01499,Wrong Item Sent,22.1,4,No
TCK-000198,CUST-03031,Account Security,20.8,3,No
TCK-000199,CUST-00915,Damaged Item,28.5,1,No
TCK-000200,CUST-00492,Wrong Item Sent,14.8,5,No
TCK-000201,CUST-03496,Late Delivery,61.6,3,Yes
TCK-000202,CUST-03013,Late Delivery,49.4,3,Yes
TCK-000203,CUST-00126,Late Delivery,55.2,1,Yes
TCK-000204,CUST-01849,Wrong Item Sent,11.4,4,No
TCK-000205,CUST-00402,Payment Issue,14.4,5,No
TCK-000206,CUST-02826,Damaged Item,50.7,2,No
TCK-000207,CUST-01359,Account Security,1.1,5,No
TCK-000208,CUST-03293,Refund Inquiry,21.3,5,Yes
TCK-000209,CUST-00274,Late Delivery,32.6,1,Yes
TCK-000210,CUST-02709,Late Delivery,21.7,1,No
TCK-000211,CUST-00741,Late Delivery,41.9,4,Yes
TCK-000212,CUST-01462,Late Delivery,37.5,3,Yes
TCK-000213,CUST-00585,Payment Issue,3.2,3,Yes
TCK-000214,CUST-00177,Account Security,6.1,5,Yes
TCK-000215,CUST-03255,Refund Inquiry,3.1,3,Yes
TCK-000216,CUST-02108,Late Delivery,43.2,5,Yes
TCK-000217,CUST-01809,Late Delivery,50.5,1,Yes
TCK-000218,CUST-01436,Account Security,6.0,2,No
TCK-000219,CUST-02655,Wrong Item Sent,15.8,4,No
TCK-000220,CUST-00470,Damaged Item,57.6,2,Yes
TCK-000221,CUST-00045,Account Security,10.4,3,Yes
TCK-000222,CUST-02638,Late Delivery,38.4,1,Yes
TCK-000223,CUST-00756,Late Delivery,52.9,1,Yes
TCK-000224,CUST-01984,Late Delivery,13.5,1,No
TCK-000225,CUST-00555,Late Delivery,61.7,2,Yes
TCK-000226,CUST-01747,Refund Inquiry,12.9,4,No
TCK-000227,CUST-01623,Refund Inquiry,19.5,2,No
TCK-000228,CUST-00287,Account Security,16.5,5,No
TCK-000229,CUST-03212,Wrong Item Sent,16.5,2,No
TCK-000230,CUST-02339,Damaged Item,56.9,2,Yes
TCK-000231,CUST-00734,Late Delivery,14.3,1,Yes
TCK-000232,CUST-00634,Account Security,19.3,5,No
TCK-000233,CUST-00731,Damaged Item,70.7,4,No
TCK-000234,CUST-02295,Damaged Item,26.6,2,Yes
TCK-000235,CUST-03160,Late Delivery,31.2,1,Yes
TCK-000236,CUST-00978,Payment Issue,22.8,4,No
TCK-000237,CUST-00446,Payment Issue,2.4,4,No
TCK-000238,CUST-00227,Late Delivery,17.4,1,Yes
TCK-000239,CUST-02091,Refund Inquiry,12.2,4,No
TCK-000240,CUST-01821,Wrong Item Sent,13.2,2,No
TCK-000241,CUST-00616,Damaged Item,61.8,2,Yes
TCK-000242,CUST-00052,Late Delivery,53.2,2,No
TCK-000243,CUST-00261,Refund Inquiry,8.4,4,No
TCK-000244,CUST-00344,Late Delivery,63.4,1,Yes
TCK-000245,CUST-02125,Damaged Item,48.1,1,Yes
TCK-000246,CUST-00811,Account Security,8.8,3,Yes
TCK-000247,CUST-02818,Payment Issue,12.6,4,No
TCK-000248,CUST-00262,Late Delivery,62.3,1,Yes
TCK-000249,CUST-01511,Wrong Item Sent,20.6,4,No
TCK-000250,CUST-01207,Late Delivery,45.6,2,No
TCK-000251,CUST-00412,Late Delivery,18.2,1,No
TCK-000252,CUST-00734,Damaged Item,35.8,2,No
TCK-000253,CUST-00173,Late Delivery,62.6,4,No
TCK-000254,CUST-01704,Late Delivery,49.2,1,No
TCK-000255,CUST-03414,Wrong Item Sent,4.3,5,No
TCK-000256,CUST-01423,Late Delivery,25.9,2,No
TCK-000257,CUST-03446,Account Security,9.7,5,No
TCK-000258,CUST-00875,Payment Issue,12.6,4,No
TCK-000259,CUST-00688,Late Delivery,62.6,2,Yes
TCK-000260,CUST-02215,Damaged Item,23.9,5,Yes
TCK-000261,CUST-02160,Late Delivery,47.9,3,Yes
TCK-000262,CUST-03305,Late Delivery,37.0,3,No
TCK-000263,CUST-03410,Damaged Item,12.3,2,Yes
TCK-000264,CUST-01103,Late Delivery,55.1,2,Yes
TCK-000265,CUST-01578,Late Delivery,20.4,2,Yes
TCK-000266,CUST-02548,Account Security,13.2,4,No
TCK-000267,CUST-02070,Damaged Item,49.9,1,Yes
TCK-000268,CUST-02524,Late Delivery,39.4,2,No
TCK-000269,CUST-02318,Late Delivery,49.3,1,No
TCK-000270,CUST-00829,Late Delivery,16.4,1,No
TCK-000271,CUST-01035,Late Delivery,29.1,2,Yes
TCK-000272,CUST-00568,Wrong Item Sent,17.8,3,No
TCK-000273,CUST-00006,Late Delivery,55.5,2,Yes
TCK-000274,CUST-02793,Payment Issue,19.2,3,No
TCK-000275,CUST-02287,Account Security,9.0,5,No
TCK-000276,CUST-02062,Damaged Item,26.2,1,Yes
TCK-000277,CUST-03401,Refund Inquiry,16.1,5,No
TCK-000278,CUST-02120,Late Delivery,70.5,1,No
TCK-000279,CUST-01243,Refund Inquiry,3.7,3,No
TCK-000280,CUST-00521,Late Delivery,45.5,2,No
TCK-000281,CUST-00027,Account Security,1.4,5,No
TCK-000282,CUST-01334,Late Delivery,52.6,3,Yes
TCK-000283,CUST-03107,Payment Issue,21.1,3,No
TCK-000284,CUST-01043,Payment Issue,2.8,4,Yes
TCK-000285,CUST-03033,Late Delivery,18.8,3,No
TCK-000286,CUST-01834,Late Delivery,42.3,2,Yes
TCK-000287,CUST-02333,Late Delivery,25.0,1,Yes
TCK-000288,CUST-01283,Wrong Item Sent,17.0,5,No
TCK-000289,CUST-00863,Late Delivery,38.6,3,Yes
TCK-000290,CUST-02703,Late Delivery,15.3,2,Yes
TCK-000291,CUST-01998,Refund Inquiry,4.9,5,No
TCK-000292,CUST-03110,Late Delivery,14.1,2,Yes
TCK-000293,CUST-02431,Late Delivery,12.8,5,Yes
TCK-000294,CUST-01695,Account Security,8.4,4,No
TCK-000295,CUST-01422,Payment Issue,21.9,4,No
TCK-000296,CUST-00793,Payment Issue,4.1,3,Yes
TCK-000297,CUST-02536,Late Delivery,44.6,3,Yes
TCK-000298,CUST-00294,Payment Issue,10.6,4,No
TCK-000299,CUST-03230,Refund Inquiry,20.5,4,No
TCK-000300,CUST-03352,Wrong Item Sent,6.5,2,Yes
TCK-000301,CUST-01223,Late Delivery,17.0,1,Yes
TCK-000302,CUST-01197,Late Delivery,55.7,1,No
TCK-000303,CUST-03187,Damaged Item,18.4,1,No
TCK-000304,CUST-02550,Damaged Item,64.3,2,Yes
TCK-000305,CUST-01305,Wrong Item Sent,17.9,4,No
TCK-000306,CUST-03314,Refund Inquiry,3.2,4,No
TCK-000307,CUST-00368,Damaged Item,36.0,1,Yes
TCK-000308,CUST-00243,Late Delivery,33.8,1,Yes
TCK-000309,CUST-03043,Account Security,9.7,5,Yes
TCK-000310,CUST-01818,Wrong Item Sent,10.0,3,No
TCK-000311,CUST-03342,Late Delivery,55.8,3,Yes
TCK-000312,CUST-03232,Late Delivery,19.0,4,No
TCK-000313,CUST-01160,Late Delivery,17.8,3,Yes
TCK-000314,CUST-00733,Account Security,7.1,3,No
TCK-000315,CUST-01151,Account Security,10.0,3,No
TCK-000316,CUST-02789,Account Security,6.6,5,No
TCK-000317,CUST-01868,Payment Issue,9.5,4,No
TCK-000318,CUST-00333,Damaged Item,21.6,3,Yes
TCK-000319,CUST-03276,Late Delivery,62.3,1,No
TCK-000320,CUST-01436,Late Delivery,46.3,2,Yes
TCK-000321,CUST-02045,Wrong Item Sent,16.8,4,No
TCK-000322,CUST-03292,Payment Issue,5.8,5,Yes
TCK-000323,CUST-02774,Wrong Item Sent,11.0,4,No
TCK-000324,CUST-01846,Payment Issue,5.6,3,No
TCK-000325,CUST-00441,Late Delivery,68.7,4,No
TCK-000326,CUST-02925,Payment Issue,15.9,4,Yes
TCK-000327,CUST-03285,Wrong Item Sent,7.0,2,No
TCK-000328,CUST-02367,Account Security,21.8,4,Yes
TCK-000329,CUST-00471,Late Delivery,13.1,1,Yes
TCK-000330,CUST-01250,Wrong Item Sent,4.3,3,No
TCK-000331,CUST-01620,Late Delivery,41.6,1,No
TCK-000332,CUST-01440,Late Delivery,22.1,5,Yes
TCK-000333,CUST-02827,Late Delivery,26.3,2,Yes
TCK-000334,CUST-02574,Damaged Item,20.1,1,No
TCK-000335,CUST-00412,Account Security,18.2,5,No
TCK-000336,CUST-00591,Damaged Item,60.1,3,Yes
TCK-000337,CUST-02916,Payment Issue,2.6,2,No
TCK-000338,CUST-00178,Account Security,4.7,5,No
TCK-000339,CUST-00971,Late Delivery,39.3,2,Yes
TCK-000340,CUST-02097,Damaged Item,62.2,4,Yes
TCK-000341,CUST-01941,Late Delivery,43.3,1,Yes
TCK-000342,CUST-02719,Wrong Item Sent,19.3,4,No
TCK-000343,CUST-00534,Wrong Item Sent,6.2,5,No
TCK-000344,CUST-03191,Refund Inquiry,6.0,4,Yes
TCK-000345,CUST-01443,Late Delivery,20.1,4,Yes
TCK-000346,CUST-00612,Wrong Item Sent,23.4,5,No
TCK-000347,CUST-02225,Late Delivery,21.4,3,Yes
TCK-000348,CUST-01636,Damaged Item,52.6,3,Yes
TCK-000349,CUST-01397,Refund Inquiry,20.4,4,Yes
TCK-000350,CUST-00855,Wrong Item Sent,9.7,5,Yes
TCK-000351,CUST-01348,Damaged Item,37.0,1,Yes
TCK-000352,CUST-03361,Damaged Item,40.7,1,No
TCK-000353,CUST-02827,Payment Issue,20.4,3,No
TCK-000354,CUST-01227,Late Delivery,18.2,3,Yes
TCK-000355,CUST-00309,Account Security,3.6,2,Yes
TCK-000356,CUST-02069,Late Delivery,25.9,3,Yes
TCK-000357,CUST-02105,Refund Inquiry,8.0,5,No
TCK-000358,CUST-03412,Payment Issue,4.4,4,No
TCK-000359,CUST-01703,Late Delivery,52.7,4,Yes
TCK-000360,CUST-00458,Refund Inquiry,9.6,4,Yes
TCK-000361,CUST-02995,Account Security,17.3,4,No
TCK-000362,CUST-02649,Payment Issue,11.2,4,No
TCK-000363,CUST-03175,Wrong Item Sent,18.5,3,No
TCK-000364,CUST-02756,Late Delivery,34.8,2,Yes
TCK-000365,CUST-01749,Late Delivery,70.9,2,Yes
TCK-000366,CUST-00399,Damaged Item,38.8,2,Yes
TCK-000367,CUST-01623,Payment Issue,9.3,4,No
TCK-000368,CUST-02585,Damaged Item,68.5,1,Yes
TCK-000369,CUST-01787,Damaged Item,19.9,3,Yes
TCK-000370,CUST-03217,Wrong Item Sent,5.5,2,No
TCK-000371,CUST-00631,Account Security,23.4,4,No
TCK-000372,CUST-02063,Account Security,11.0,1,No
TCK-000373,CUST-02661,Refund Inquiry,16.8,5,Yes
TCK-000374,CUST-00551,Late Delivery,16.9,4,Yes
TCK-000375,CUST-01449,Account Security,12.1,4,No
TCK-000376,CUST-00565,Late Delivery,39.3,4,No
TCK-000377,CUST-00148,Wrong Item Sent,10.4,5,Yes
TCK-000378,CUST-03462,Payment Issue,14.5,5,No
TCK-000379,CUST-01884,Late Delivery,59.3,1,Yes
TCK-000380,CUST-01799,Damaged Item,50.1,1,No
TCK-000381,CUST-00260,Wrong Item Sent,10.5,4,No
TCK-000382,CUST-00960,Late Delivery,18.2,2,Yes
TCK-000383,CUST-03280,Damaged Item,24.7,4,Yes
TCK-000384,CUST-02544,Late Delivery,50.4,2,Yes
TCK-000385,CUST-01719,Late Delivery,58.2,1,No
TCK-000386,CUST-01532,Wrong Item Sent,16.5,4,No
TCK-000387,CUST-01447,Late Delivery,21.5,2,No
TCK-000388,CUST-01032,Damaged Item,26.8,3,No
TCK-000389,CUST-02104,Account Security,20.7,4,No
TCK-000390,CUST-02212,Late Delivery,60.5,1,Yes
TCK-000391,CUST-01793,Late Delivery,45.6,1,Yes
TCK-000392,CUST-01269,Payment Issue,3.8,4,No
TCK-000393,CUST-01167,Wrong Item Sent,10.8,5,No
TCK-000394,CUST-02116,Late Delivery,69.9,1,Yes
TCK-000395,CUST-00280,Account Security,2.9,3,No
TCK-000396,CUST-01672,Account Security,7.7,4,Yes
TCK-000397,CUST-01512,Payment Issue,22.1,3,No
TCK-000398,CUST-01127,Damaged Item,47.9,3,No
TCK-000399,CUST-00793,Damaged Item,39.5,1,Yes
TCK-000400,CUST-00560,Refund Inquiry,20.0,5,No
TCK-000401,CUST-02667,Damaged Item,38.7,4,Yes
TCK-000402,CUST-02597,Wrong Item Sent,16.8,5,No
TCK-000403,CUST-02099,Late Delivery,48.0,4,No
TCK-000404,CUST-00270,Wrong Item Sent,7.3,4,No
TCK-000405,CUST-03068,Wrong Item Sent,14.4,3,No
TCK-000406,CUST-02601,Account Security,19.2,4,No
TCK-000407,CUST-02977,Damaged Item,41.4,3,No
TCK-000408,CUST-02372,Late Delivery,35.5,1,Yes
TCK-000409,CUST-01784,Damaged Item,27.0,5,Yes
TCK-000410,CUST-02239,Refund Inquiry,22.6,5,No
TCK-000411,CUST-01112,Account Security,1.3,3,Yes
TCK-000412,CUST-00253,Late Delivery,56.6,1,Yes
TCK-000413,CUST-03338,Wrong Item Sent,19.0,3,No
TCK-000414,CUST-00684,Damaged Item,54.5,3,No
TCK-000415,CUST-01806,Refund Inquiry,21.1,4,Yes
TCK-000416,CUST-00980,Late Delivery,61.4,2,Yes
TCK-000417,CUST-02760,Late Delivery,64.6,2,Yes
TCK-000418,CUST-02203,Late Delivery,72.0,1,No
TCK-000419,CUST-01721,Late Delivery,57.7,4,Yes
TCK-000420,CUST-00801,Refund Inquiry,7.8,4,Yes
TCK-000421,CUST-03112,Late Delivery,61.2,4,No
TCK-000422,CUST-02202,Late Delivery,13.5,1,Yes
TCK-000423,CUST-00299,Late Delivery,14.6,5,Yes
TCK-000424,CUST-02824,Late Delivery,52.5,4,Yes
TCK-000425,CUST-01075,Payment Issue,21.4,2,No
TCK-000426,CUST-02353,Late Delivery,13.3,3,Yes
TCK-000427,CUST-00492,Damaged Item,41.3,2,No
TCK-000428,CUST-00377,Wrong Item Sent,23.0,4,No
TCK-000429,CUST-00547,Late Delivery,47.3,3,No
TCK-000430,CUST-01527,Late Delivery,71.9,1,Yes
TCK-000431,CUST-01378,Account Security,10.5,5,No
TCK-000432,CUST-00356,Late Delivery,40.4,1,No
TCK-000433,CUST-03046,Late Delivery,21.9,3,No
TCK-000434,CUST-01860,Payment Issue,5.8,4,No
TCK-000435,CUST-03174,Wrong Item Sent,5.7,5,No
TCK-000436,CUST-02695,Payment Issue,11.1,5,No
TCK-000437,CUST-02809,Late Delivery,70.9,2,Yes
TCK-000438,CUST-02550,Wrong Item Sent,20.0,4,No
TCK-000439,CUST-02339,Damaged Item,41.3,3,No
TCK-000440,CUST-01170,Wrong Item Sent,8.4,5,Yes
TCK-000441,CUST-02238,Damaged Item,61.5,3,No
TCK-000442,CUST-01954,Damaged Item,50.2,3,Yes
TCK-000443,CUST-02574,Late Delivery,19.0,1,Yes
TCK-000444,CUST-01075,Late Delivery,19.1,1,Yes
TCK-000445,CUST-02439,Damaged Item,47.2,3,Yes
TCK-000446,CUST-00911,Late Delivery,36.1,2,Yes
TCK-000447,CUST-01300,Late Delivery,13.9,2,Yes
TCK-000448,CUST-01948,Damaged Item,68.2,2,No
TCK-000449,CUST-03074,Damaged Item,57.9,3,Yes
TCK-000450,CUST-02614,Late Delivery,65.1,2,No
TCK-000451,CUST-01339,Wrong Item Sent,14.5,2,Yes
TCK-000452,CUST-01699,Wrong Item Sent,23.6,4,No
TCK-000453,CUST-00231,Late Delivery,66.3,2,No
TCK-000454,CUST-01416,Refund Inquiry,16.3,2,No
TCK-000455,CUST-02223,Late Delivery,60.8,2,Yes
TCK-000456,CUST-00670,Damaged Item,41.3,4,Yes
TCK-000457,CUST-00253,Late Delivery,61.0,1,No
TCK-000458,CUST-03236,Late Delivery,61.9,3,Yes
TCK-000459,CUST-00720,Damaged Item,34.8,4,No
TCK-000460,CUST-03113,Account Security,21.2,5,No
