transaction_id,customer_id,transaction_amount,payment_gateway,device_type,location,transaction_status
TXN-0000081,CUST-01826,33.88,Stripe,Mobile iOS,APAC-East,Approved
TXN-0000082,CUST-00091,15.32,Stripe,Mobile iOS,US-West,Approved
TXN-0000083,CUST-00018,224.48,Adyen,Mobile Android,US-West,Approved
TXN-0000084,CUST-02729,12.57,Adyen,Mobile Android,EU-Central,Approved
TXN-0000085,CUST-00917,338.98,Adyen,Desktop MacOS,EU-Central,Approved
TXN-0000086,CUST-03353,852.06,Square,Desktop Windows,APAC-East,Flagged_Fraud
TXN-0000087,CUST-00564,170.33,Square,Desktop MacOS,EU-Central,Approved
TXN-0000088,CUST-03498,260.24,Adyen,Mobile iOS,APAC-East,Approved
TXN-0000089,CUST-02082,358.32,Adyen,Desktop Windows,EU-Central,Approved
TXN-0000090,CUST-01568,46.64,Adyen,Mobile Android,US-West,Approved
TXN-0000091,CUST-02607,10.55,Square,Mobile Android,EU-Central,Approved
TXN-0000092,CUST-02202,119.74,PayPal Gateway,Mobile Android,LATAM-South,Approved
TXN-0000093,CUST-03017,198.6,Stripe,Tablet,LATAM-South,Approved
TXN-0000094,CUST-00223,62.89,Square,Tablet,US-West,Approved
TXN-0000095,CUST-00325,342.69,Stripe,Desktop Windows,US-East,Approved
TXN-0000096,CUST-00127,41.47,Square,Mobile iOS,US-East,Approved
TXN-0000097,CUST-02175,317.7,Stripe,Desktop MacOS,EU-Central,Approved
TXN-0000098,CUST-01399,14.16,Authorize.Net,Tablet,EU-Central,Approved
TXN-0000099,CUST-00259,121.15,PayPal Gateway,Mobile Android,US-West,Approved
TXN-0000100,CUST-02528,25.36,Adyen,Tablet,US-West,Approved
TXN-0000101,CUST-00974,109.19,PayPal Gateway,Mobile Android,EU-Central,Approved
TXN-0000102,CUST-01358,79.5,Stripe,Mobile iOS,EU-Central,Approved
TXN-0000103,CUST-00698,154.25,Authorize.Net,Mobile iOS,US-East,Approved
TXN-0000104,CUST-01708,28.97,PayPal Gateway,Tablet,APAC-East,Approved
TXN-0000105,CUST-02564,74.09,PayPal Gateway,Desktop MacOS,APAC-East,Approved
TXN-0000106,CUST-02384,137.55,Adyen,Mobile Android,EU-Central,Approved
TXN-0000107,CUST-02548,32.23,Square,Desktop Windows,LATAM-South,Approved
TXN-0000108,CUST-02144,42.64,Authorize.Net,Desktop MacOS,US-West,Approved
TXN-0000109,CUST-02532,216.67,Authorize.Net,Tablet,APAC-East,Approved
TXN-0000110,CUST-00424,60.32,Adyen,Desktop MacOS,APAC-East,Approved
TXN-0000111,CUST-02511,174.47,Adyen,Mobile iOS,US-East,Approved
TXN-0000112,CUST-01828,67.94,Square,Desktop Windows,US-West,Approved
TXN-0000113,CUST-02532,95.87,PayPal Gateway,Desktop Windows,US-West,Approved
TXN-0000114,CUST-00731,122.77,Authorize.Net,Mobile iOS,LATAM-South,Approved
TXN-0000115,CUST-00634,83.52,PayPal Gateway,Desktop Windows,US-East,Approved
TXN-0000116,CUST-01538,194.24,Square,Tablet,US-East,Approved
TXN-0000117,CUST-02199,536.72,Adyen,Desktop MacOS,US-West,Approved
TXN-0000118,CUST-00759,275.68,Stripe,Mobile Android,APAC-East,Approved
TXN-0000119,CUST-00091,4551.88,Authorize.Net,Desktop MacOS,APAC-East,Chargeback
TXN-0000120,CUST-00529,25.44,Authorize.Net,Desktop MacOS,US-West,Approved
TXN-0000121,CUST-01457,183.44,Stripe,Mobile iOS,US-West,Approved
TXN-0000122,CUST-00245,81.88,PayPal Gateway,Mobile iOS,US-West,Approved
TXN-0000123,CUST-00397,139.73,Square,Desktop MacOS,US-East,Approved
TXN-0000124,CUST-02527,37.15,Square,Mobile iOS,US-West,Approved
TXN-0000125,CUST-01956,155.77,Square,Tablet,US-West,Approved
TXN-0000126,CUST-01220,87.65,Stripe,Desktop Windows,APAC-East,Declined
TXN-0000127,CUST-01113,11.31,Adyen,Mobile iOS,LATAM-South,Approved
TXN-0000128,CUST-01736,496.56,Square,Desktop Windows,APAC-East,Approved
TXN-0000129,CUST-01715,117.96,Adyen,Desktop Windows,LATAM-South,Approved
TXN-0000130,CUST-01021,12.91,Stripe,Mobile iOS,US-West,Approved
TXN-0000131,CUST-02476,234.24,PayPal Gateway,Mobile iOS,EU-Central,Approved
TXN-0000132,CUST-01325,496.54,PayPal Gateway,Mobile Android,US-East,Approved
TXN-0000133,CUST-03320,81.08,Stripe,Desktop Windows,US-East,Approved
TXN-0000134,CUST-03353,33.91,Adyen,Mobile Android,US-East,Approved
TXN-0000135,CUST-00569,246.25,PayPal Gateway,Tablet,US-West,Approved
TXN-0000136,CUST-00741,111.58,PayPal Gateway,Mobile iOS,LATAM-South,Approved
TXN-0000137,CUST-01208,131.35,Stripe,Desktop MacOS,EU-Central,Approved
TXN-0000138,CUST-02175,78.12,Adyen,Desktop Windows,US-East,Approved
TXN-0000139,CUST-00994,84.27,Adyen,Desktop Windows,US-West,Approved
TXN-0000140,CUST-01132,66.52,PayPal Gateway,Mobile iOS,US-West,Approved
TXN-0000141,CUST-00806,63.1,Adyen,Mobile Android,US-West,Approved
TXN-0000142,CUST-00084,98.06,Adyen,Tablet,US-West,Approved
TXN-0000143,CUST-02305,194.33,Stripe,Desktop MacOS,EU-Central,Approved
TXN-0000144,CUST-00155,47.69,Square,Desktop Windows,US-West,Approved
TXN-0000145,CUST-02097,302.71,PayPal Gateway,Desktop Windows,US-East,Approved
TXN-0000146,CUST-02384,115.17,Authorize.Net,Desktop MacOS,APAC-East,Approved
TXN-0000147,CUST-00461,11.47,Authorize.Net,Mobile iOS,EU-Central,Approved
TXN-0000148,CUST-01003,261.04,Stripe,Tablet,APAC-East,Approved
TXN-0000149,CUST-00119,246.48,PayPal Gateway,Desktop MacOS,US-West,Approved
TXN-0000150,CUST-00095,15.81,Square,Desktop MacOS,US-West,Approved
TXN-0000151,CUST-00448,136.17,Authorize.Net,Tablet,EU-Central,Approved
TXN-0000152,CUST-00967,113.25,Square,Desktop MacOS,EU-Central,Approved
TXN-0000153,CUST-01440,38.04,Authorize.Net,Desktop Windows,US-East,Approved
TXN-0000154,CUST-03307,254.92,PayPal Gateway,Mobile Android,US-West,Approved
TXN-0000155,CUST-02642,17.17,PayPal Gateway,Mobile Android,US-West,Approved
TXN-0000156,CUST-01342,30.98,Stripe,Desktop MacOS,LATAM-South,Approved
TXN-0000157,CUST-03167,166.21,PayPal Gateway,Desktop Windows,US-West,Approved
TXN-0000158,CUST-02120,109.62,Authorize.Net,Mobile iOS,US-West,Approved
TXN-0000159,CUST-01089,442.78,Square,Mobile iOS,US-West,Approved
TXN-0000160,CUST-02227,299.07,Stripe,Desktop MacOS,APAC-East,Approved
TXN-0000161,CUST-01267,69.59,Authorize.Net,Desktop Windows,APAC-East,Approved
TXN-0000162,CUST-03244,263.57,Authorize.Net,Desktop MacOS,LATAM-South,Approved
TXN-0000163,CUST-01632,25.56,Authorize.Net,Desktop Windows,EU-Central,Approved
TXN-0000164,CUST-01968,123.02,Stripe,Mobile iOS,US-East,Declined
TXN-0000165,CUST-00835,72.34,Square,Mobile iOS,APAC-East,Approved
TXN-0000166,CUST-00928,49.48,Square,Mobile iOS,EU-Central,Approved
TXN-0000167,CUST-01464,32.45,Square,Desktop Windows,US-East,Approved
TXN-0000168,CUST-02561,236.31,Stripe,Desktop Windows,US-West,Approved
TXN-0000169,CUST-02861,26.75,Authorize.Net,Desktop MacOS,US-East,Approved
TXN-0000170,CUST-01291,312.31,Stripe,Tablet,EU-Central,Approved
TXN-0000171,CUST-02614,155.17,Authorize.Net,Mobile Android,US-West,Approved
TXN-0000172,CUST-03163,185.14,Authorize.Net,Mobile iOS,EU-Central,Approved
TXN-0000173,CUST-00348,72.81,Stripe,Mobile iOS,US-East,Approved
TXN-0000174,CUST-01411,137.5,Stripe,Desktop Windows,EU-Central,Approved
TXN-0000175,CUST-02739,142.68,Authorize.Net,Mobile iOS,APAC-East,Declined
TXN-0000176,CUST-01300,46.3,Authorize.Net,Mobile iOS,LATAM-South,Declined
TXN-0000177,CUST-02593,16.68,Square,Mobile Android,EU-Central,Approved
TXN-0000178,CUST-02372,336.14,Square,Mobile Android,APAC-East,Approved
TXN-0000179,CUST-02904,565.15,PayPal Gateway,Desktop Windows,EU-Central,Approved
TXN-0000180,CUST-03438,240.98,Authorize.Net,Mobile Android,EU-Central,Approved
TXN-0000181,CUST-02283,38.86,Adyen,Desktop Windows,LATAM-South,Approved
TXN-0000182,CUST-01463,18.03,Authorize.Net,Desktop MacOS,US-West,Approved
TXN-0000183,CUST-01518,155.39,Stripe,Mobile iOS,US-East,Approved
TXN-0000184,CUST-00092,90.64,Adyen,Desktop MacOS,LATAM-South,Approved
TXN-0000185,CUST-02396,282.42,Square,Desktop MacOS,APAC-East,Approved
TXN-0000186,CUST-01774,201.8,Stripe,Tablet,US-West,Approved
TXN-0000187,CUST-02372,147.16,Square,Desktop MacOS,US-West,Approved
TXN-0000188,CUST-01399,16.34,PayPal Gateway,Desktop Windows,APAC-East,Approved
TXN-0000189,CUST-01218,108.51,Adyen,Mobile iOS,LATAM-South,Approved
TXN-0000190,CUST-01569,239.48,Square,Desktop MacOS,US-East,Approved
TXN-0000191,CUST-00673,37.72,PayPal Gateway,Mobile Android,EU-Central,Approved
TXN-0000192,CUST-02486,62.42,Adyen,Tablet,APAC-East,Declined
TXN-0000193,CUST-02353,55.95,Stripe,Tablet,APAC-East,Approved
TXN-0000194,CUST-00824,101.14,Square,Desktop Windows,LATAM-South,Approved
TXN-0000195,CUST-02563,144.09,Square,Mobile Android,APAC-East,Approved
TXN-0000196,CUST-00405,31.38,Adyen,Mobile iOS,EU-Central,Approved
TXN-0000197,CUST-01554,29.26,Adyen,Mobile iOS,APAC-East,Approved
TXN-0000198,CUST-00842,149.59,Authorize.Net,Tablet,EU-Central,Approved
TXN-0000199,CUST-01909,13.89,Authorize.Net,Desktop Windows,EU-Central,Approved
TXN-0000200,CUST-00213,150.78,Square,Tablet,EU-Central,Approved
TXN-0000201,CUST-01009,162.88,Authorize.Net,Mobile Android,EU-Central,Approved
TXN-0000202,CUST-00757,72.43,Adyen,Desktop MacOS,EU-Central,Approved
TXN-0000203,CUST-02839,51.08,Adyen,Tablet,EU-Central,Approved
TXN-0000204,CUST-02349,433.2,Square,Desktop MacOS,US-West,Approved
TXN-0000205,CUST-00026,98.95,Square,Desktop Windows,APAC-East,Approved
TXN-0000206,CUST-02916,118.9,PayPal Gateway,Desktop Windows,US-East,Approved
TXN-0000207,CUST-01293,1062.21,Stripe,Mobile iOS,APAC-East,Chargeback
TXN-0000208,CUST-01493,209.05,Square,Mobile iOS,EU-Central,Approved
TXN-0000209,CUST-02083,32.93,Square,Mobile iOS,US-West,Approved
TXN-0000210,CUST-02990,175.97,Adyen,Tablet,APAC-East,Approved
TXN-0000211,CUST-01482,56.07,Square,Desktop MacOS,LATAM-South,Approved
TXN-0000212,CUST-01038,331.94,Adyen,Tablet,APAC-East,Approved
TXN-0000213,CUST-03102,82.53,Authorize.Net,Tablet,LATAM-South,Approved
TXN-0000214,CUST-01281,174.11,PayPal Gateway,Desktop MacOS,US-East,Approved
TXN-0000215,CUST-01797,22.12,PayPal Gateway,Mobile iOS,APAC-East,Approved
TXN-0000216,CUST-01999,145.89,PayPal Gateway,Desktop Windows,LATAM-South,Approved
TXN-0000217,CUST-01616,89.94,Stripe,Desktop Windows,US-East,Approved
TXN-0000218,CUST-01771,4027.05,Stripe,Mobile iOS,LATAM-South,Declined
TXN-0000219,CUST-01164,84.67,Adyen,Desktop Windows,LATAM-South,Approved
TXN-0000220,CUST-01407,10.89,Stripe,Mobile iOS,US-East,Approved
TXN-0000221,CUST-03439,49.23,Square,Mobile iOS,APAC-East,Approved
TXN-0000222,CUST-00101,170.85,Adyen,Desktop Windows,EU-Central,Approved
TXN-0000223,CUST-00130,124.2,Square,Mobile Android,EU-Central,Approved
TXN-0000224,CUST-00635,102.56,Square,Desktop Windows,US-West,Approved
TXN-0000225,CUST-00580,126.41,Authorize.Net,Mobile iOS,US-West,Declined
TXN-0000226,CUST-00243,26.28,Authorize.Net,Desktop Windows,US-West,Approved
TXN-0000227,CUST-02154,336.62,Stripe,Mobile iOS,LATAM-South,Declined
TXN-0000228,CUST-02213,107.92,Square,Desktop Windows,US-West,Approved
TXN-0000229,CUST-01218,4286.96,Stripe,Mobile Android,APAC-East,Chargeback
TXN-0000230,CUST-00662,99.43,Square,Desktop MacOS,EU-Central,Declined
TXN-0000231,CUST-03082,27.15,Authorize.Net,Desktop MacOS,US-East,Approved
TXN-0000232,CUST-02334,128.12,PayPal Gateway,Mobile Android,US-East,Approved
TXN-0000233,CUST-03445,250.56,PayPal Gateway,Tablet,LATAM-South,Approved
TXN-0000234,CUST-00532,42.13,Stripe,Mobile Android,LATAM-South,Approved
TXN-0000235,CUST-00799,53.75,Square,Desktop Windows,EU-Central,Approved
TXN-0000236,CUST-00090,56.46,PayPal Gateway,Mobile Android,LATAM-South,Approved
TXN-0000237,CUST-02146,171.5,Stripe,Mobile Android,US-East,Approved
TXN-0000238,CUST-01446,63.42,Stripe,Desktop Windows,APAC-East,Approved
TXN-0000239,CUST-01604,312.25,Stripe,Tablet,EU-Central,Approved
TXN-0000240,CUST-01680,10.57,Square,Mobile Android,US-West,Approved
TXN-0000241,CUST-03117,771.51,PayPal Gateway,Desktop Windows,US-East,Approved
TXN-0000242,CUST-02816,123.4,Stripe,Desktop MacOS,US-East,Approved
TXN-0000243,CUST-00318,109.76,Adyen,Tablet,US-West,Approved
TXN-0000244,CUST-02745,177.93,PayPal Gateway,Mobile iOS,EU-Central,Approved
TXN-0000245,CUST-01479,21.3,PayPal Gateway,Desktop MacOS,APAC-East,Approved
TXN-0000246,CUST-01136,56.45,Authorize.Net,Tablet,EU-Central,Approved
TXN-0000247,CUST-03157,1607.97,Square,Desktop MacOS,US-West,Chargeback
TXN-0000248,CUST-02324,450.87,Adyen,Desktop Windows,LATAM-South,Approved
TXN-0000249,CUST-01985,309.42,Adyen,Desktop MacOS,US-East,Approved
TXN-0000250,CUST-00758,106.93,Stripe,Tablet,APAC-East,Approved
TXN-0000251,CUST-00495,46.82,Square,Desktop Windows,US-West,Approved
TXN-0000252,CUST-01725,13.64,PayPal Gateway,Mobile iOS,APAC-East,Declined
TXN-0000253,CUST-02754,183.73,Adyen,Desktop Windows,EU-Central,Approved
TXN-0000254,CUST-01432,3660.5,Authorize.Net,Tablet,EU-Central,Chargeback
TXN-0000255,CUST-02223,309.96,Adyen,Tablet,LATAM-South,Approved
TXN-0000256,CUST-00064,96.2,Authorize.Net,Mobile iOS,US-East,Approved
TXN-0000257,CUST-00230,165.99,Adyen,Desktop MacOS,US-West,Approved
TXN-0000258,CUST-02388,127.14,Stripe,Mobile iOS,US-East,Approved
TXN-0000259,CUST-00124,67.63,Square,Mobile Android,LATAM-South,Approved
TXN-0000260,CUST-02298,1573.53,Authorize.Net,Mobile Android,EU-Central,Chargeback
TXN-0000261,CUST-00871,627.15,Authorize.Net,Mobile iOS,APAC-East,Approved
TXN-0000262,CUST-01854,32.62,Square,Mobile iOS,LATAM-South,Approved
TXN-0000263,CUST-01892,88.78,Adyen,Tablet,APAC-East,Approved
TXN-0000264,CUST-01065,120.59,PayPal Gateway,Mobile iOS,EU-Central,Approved
TXN-0000265,CUST-03456,118.31,Authorize.Net,Mobile Android,US-East,Approved
TXN-0000266,CUST-01033,39.33,Square,Tablet,EU-Central,Approved
TXN-0000267,CUST-03368,260.01,Adyen,Tablet,APAC-East,Approved
TXN-0000268,CUST-00610,328.39,PayPal Gateway,Desktop MacOS,APAC-East,Approved
TXN-0000269,CUST-02983,44.1,Authorize.Net,Mobile Android,US-East,Approved
TXN-0000270,CUST-02637,124.57,Adyen,Mobile iOS,EU-Central,Declined
TXN-0000271,CUST-02082,36.16,Adyen,Mobile Android,US-West,Approved
TXN-0000272,CUST-00886,71.42,Stripe,Mobile iOS,LATAM-South,Approved
TXN-0000273,CUST-03176,88.39,Square,Tablet,US-West,Declined
TXN-0000274,CUST-01910,212.68,Adyen,Mobile Android,EU-Central,Approved
TXN-0000275,CUST-00262,49.82,Authorize.Net,Desktop Windows,US-West,Declined
TXN-0000276,CUST-01159,17.4,Square,Desktop Windows,APAC-East,Approved
TXN-0000277,CUST-01834,271.63,Authorize.Net,Tablet,US-West,Approved
TXN-0000278,CUST-01390,494.38,Adyen,Mobile iOS,LATAM-South,Declined
TXN-0000279,CUST-02625,177.46,PayPal Gateway,Desktop Windows,EU-Central,Approved
TXN-0000280,CUST-01599,127.38,Authorize.Net,Mobile iOS,EU-Central,Approved
TXN-0000281,CUST-00823,51.58,PayPal Gateway,Desktop MacOS,US-West,Approved
TXN-0000282,CUST-02002,142.06,Stripe,Desktop MacOS,LATAM-South,Approved
TXN-0000283,CUST-00240,138.46,Stripe,Desktop MacOS,APAC-East,Approved
TXN-0000284,CUST-02233,75.26,Square,Tablet,APAC-East,Approved
TXN-0000285,CUST-00163,232.64,Square,Desktop Windows,US-East,Approved
TXN-0000286,CUST-00809,322.81,PayPal Gateway,Desktop MacOS,EU-Central,Approved
TXN-0000287,CUST-01224,55.45,Stripe,Desktop MacOS,APAC-East,Approved
TXN-0000288,CUST-01034,79.72,Adyen,Mobile iOS,US-East,Approved
TXN-0000289,CUST-01004,149.12,PayPal Gateway,Mobile iOS,US-West,Approved
TXN-0000290,CUST-02077,165.49,Adyen,Desktop Windows,LATAM-South,Approved
TXN-0000291,CUST-02869,74.1,Authorize.Net,Tablet,US-West,Approved
TXN-0000292,CUST-02504,30.96,Stripe,Mobile iOS,LATAM-South,Approved
TXN-0000293,CUST-01808,129.89,Square,Tablet,EU-Central,Approved
TXN-0000294,CUST-02078,35.84,PayPal Gateway,Tablet,LATAM-South,Declined
TXN-0000295,CUST-02527,114.65,Adyen,Tablet,LATAM-South,Approved
TXN-0000296,CUST-00611,192.51,Stripe,Desktop MacOS,APAC-East,Approved
TXN-0000297,CUST-02407,69.12,Square,Mobile iOS,US-West,Approved
TXN-0000298,CUST-00966,304.99,PayPal Gateway,Desktop MacOS,LATAM-South,Approved
TXN-0000299,CUST-01678,100.19,PayPal Gateway,Desktop MacOS,US-East,Approved
TXN-0000300,CUST-00488,20.43,PayPal Gateway,Mobile iOS,US-East,Approved
TXN-0000301,CUST-00089,183.2,PayPal Gateway,Mobile iOS,US-West,Approved
TXN-0000302,CUST-00141,194.32,Authorize.Net,Mobile iOS,APAC-East,Approved
TXN-0000303,CUST-01664,2162.24,Stripe,Mobile iOS,EU-Central,Flagged_Fraud
TXN-0000304,CUST-01901,403.18,Square,Desktop MacOS,US-East,Approved
TXN-0000305,CUST-02689,159.54,Square,Mobile iOS,US-East,Approved
TXN-0000306,CUST-01620,173.12,Adyen,Desktop MacOS,EU-Central,Approved
TXN-0000307,CUST-03239,40.06,PayPal Gateway,Desktop MacOS,US-West,Approved
TXN-0000308,CUST-01424,16.74,Stripe,Desktop MacOS,EU-Central,Approved
TXN-0000309,CUST-00688,35.42,Stripe,Tablet,LATAM-South,Approved
TXN-0000310,CUST-03021,85.19,Adyen,Tablet,US-West,Approved
TXN-0000311,CUST-01308,54.27,Authorize.Net,Mobile Android,US-East,Approved
TXN-0000312,CUST-02077,42.05,PayPal Gateway,Tablet,APAC-East,Approved
TXN-0000313,CUST-00271,40.86,Authorize.Net,Tablet,US-West,Approved
TXN-0000314,CUST-01340,89.29,Stripe,Mobile iOS,APAC-East,Approved
TXN-0000315,CUST-01211,172.03,Stripe,Mobile Android,EU-Central,Approved
TXN-0000316,CUST-03336,12.81,Square,Desktop Windows,APAC-East,Approved
TXN-0000317,CUST-02845,76.91,Stripe,Mobile iOS,US-East,Approved
TXN-0000318,CUST-01574,87.2,Square,Mobile iOS,US-West,Approved
TXN-0000319,CUST-00376,90.84,Adyen,Desktop MacOS,US-East,Approved
TXN-0000320,CUST-00151,12.32,Authorize.Net,Tablet,EU-Central,Approved
TXN-0000321,CUST-00340,162.73,Stripe,Mobile Android,LATAM-South,Declined
TXN-0000322,CUST-01222,23.34,Authorize.Net,Mobile iOS,US-East,Approved
TXN-0000323,CUST-00784,51.22,PayPal Gateway,Desktop Windows,US-West,Approved
TXN-0000324,CUST-00774,208.15,Stripe,Desktop MacOS,EU-Central,Approved
TXN-0000325,CUST-00592,43.93,Stripe,Desktop MacOS,EU-Central,Approved
TXN-0000326,CUST-02053,77.27,Stripe,Mobile iOS,EU-Central,Approved
TXN-0000327,CUST-03191,37.99,Square,Tablet,US-East,Approved
TXN-0000328,CUST-01586,279.93,Square,Tablet,LATAM-South,Approved
TXN-0000329,CUST-03390,28.04,Square,Tablet,US-West,Approved
TXN-0000330,CUST-00244,22.89,Square,Mobile Android,LATAM-South,Approved
TXN-0000331,CUST-02743,122.92,Authorize.Net,Mobile Android,EU-Central,Approved
TXN-0000332,CUST-02017,228.85,Adyen,Tablet,APAC-East,Approved
