order_id,customer_id,product_id,order_date,quantity,discount,sales_amount,payment_method,order_status
ORD-000028,CUST-00333,PROD-0004,2024-01-02 11:47:28,1,0.1,472.46,BNPL (Klarna),Completed
ORD-000029,CUST-01154,PROD-0063,2024-01-02 12:28:09,2,0.2,1003.66,Credit Card,Completed
ORD-000030,CUST-03104,PROD-0070,2024-01-02 13:19:19,2,0.1,254.36,PayPal,Completed
ORD-000031,CUST-01626,PROD-0038,2024-01-02 13:31:26,1,0.1,179.62,BNPL (Klarna),Completed
ORD-000032,CUST-01449,PROD-0175,2024-01-02 14:14:26,1,0.05,266.39,Debit Card,Completed
ORD-000033,CUST-01322,PROD-0188,2024-01-02 16:54:46,2,0.0,1774.8,Debit Card,Completed
ORD-000034,CUST-01528,PROD-0227,2024-01-02 20:23:21,5,0.1,4394.79,Debit Card,Completed
ORD-000035,CUST-01709,PROD-0002,2024-01-02 21:07:39,2,0.2,127.76,Apple Pay,Completed
ORD-000036,CUST-02405,PROD-0197,2024-01-02 21:27:12,5,0.0,2623.6,Bank Transfer,Completed
ORD-000037,CUST-00401,PROD-0008,2024-01-02 21:34:30,2,0.0,397.22,Debit Card,Completed
ORD-000038,CUST-02012,PROD-0051,2024-01-02 22:05:03,4,0.05,2800.71,PayPal,Shipped
ORD-000039,CUST-02944,PROD-0117,2024-01-03 04:11:39,2,0.2,585.89,Bank Transfer,Completed
ORD-000040,CUST-03038,PROD-0222,2024-01-03 05:05:49,4,0.0,1573.36,Credit Card,Completed
ORD-000041,CUST-02757,PROD-0112,2024-01-03 06:09:29,1,0.1,461.96,Debit Card,Cancelled
ORD-000042,CUST-01479,PROD-0019,2024-01-03 06:27:07,3,0.1,2614.79,BNPL (Klarna),Completed
ORD-000043,CUST-01915,PROD-0094,2024-01-03 07:33:16,1,0.1,812.93,Credit Card,Completed
ORD-000044,CUST-01058,PROD-0031,2024-01-03 08:12:43,1,0.05,390.7,Debit Card,Completed
ORD-000045,CUST-02296,PROD-0080,2024-01-03 10:51:13,1,0.15,35.79,PayPal,Completed
ORD-000046,CUST-02994,PROD-0102,2024-01-03 11:07:01,1,0.0,430.57,Credit Card,Completed
ORD-000047,CUST-00042,PROD-0022,2024-01-03 11:20:12,1,0.0,444.24,Apple Pay,Completed
ORD-000048,CUST-00801,PROD-0033,2024-01-03 14:34:43,10,0.0,782.2,Debit Card,Completed
ORD-000049,CUST-02171,PROD-0242,2024-01-03 16:27:28,2,0.0,1930.76,Debit Card,Completed
ORD-000050,CUST-00027,PROD-0214,2024-01-03 23:14:49,4,0.0,2274.64,Debit Card,Completed
ORD-000051,CUST-02619,PROD-0200,2024-01-04 00:38:54,10,0.0,297.0,Debit Card,Completed
ORD-000052,CUST-01171,PROD-0165,2024-01-04 00:53:10,1,0.1,636.65,Credit Card,Completed
ORD-000053,CUST-02544,PROD-0140,2024-01-04 01:45:28,1,0.0,503.56,Debit Card,Completed
ORD-000054,CUST-02534,PROD-0114,2024-01-04 04:20:12,1,0.1,800.35,Credit Card,Shipped
ORD-000055,CUST-02947,PROD-0197,2024-01-04 05:45:45,1,0.0,524.72,Debit Card,Completed
ORD-000056,CUST-00711,PROD-0064,2024-01-04 05:49:07,2,0.0,426.9,Credit Card,Shipped
ORD-000057,CUST-03200,PROD-0153,2024-01-04 06:45:48,1,0.0,536.63,Apple Pay,Completed
ORD-000058,CUST-02424,PROD-0182,2024-01-04 07:26:51,1,0.0,50.06,Debit Card,Completed
ORD-000059,CUST-02019,PROD-0029,2024-01-04 09:13:48,1,0.0,413.33,Credit Card,Completed
ORD-000060,CUST-00665,PROD-0013,2024-01-04 11:18:03,1,0.0,292.11,PayPal,Completed
ORD-000061,CUST-00783,PROD-0245,2024-01-04 11:54:05,1,0.05,410.35,Credit Card,Completed
ORD-000062,CUST-02899,PROD-0026,2024-01-04 11:56:26,3,0.0,608.7,Debit Card,Completed
ORD-000063,CUST-01980,PROD-0022,2024-01-04 14:22:39,1,0.0,444.24,PayPal,Refunded
ORD-000064,CUST-02048,PROD-0093,2024-01-05 02:48:12,1,0.0,444.74,Credit Card,Completed
ORD-000065,CUST-01107,PROD-0076,2024-01-05 03:34:26,1,0.15,142.39,Credit Card,Refunded
ORD-000066,CUST-01559,PROD-0240,2024-01-05 04:13:08,2,0.0,1480.98,Credit Card,Shipped
ORD-000067,CUST-01723,PROD-0110,2024-01-05 05:51:26,1,0.0,119.58,BNPL (Klarna),Completed
ORD-000068,CUST-01652,PROD-0235,2024-01-05 06:03:15,1,0.0,425.93,PayPal,Cancelled
ORD-000069,CUST-02722,PROD-0092,2024-01-05 07:36:42,1,0.1,102.2,Credit Card,Completed
ORD-000070,CUST-01127,PROD-0073,2024-01-05 08:13:37,4,0.0,2035.28,Credit Card,Completed
ORD-000071,CUST-01779,PROD-0119,2024-01-05 09:03:00,4,0.0,269.2,Debit Card,Completed
ORD-000072,CUST-02410,PROD-0010,2024-01-05 10:18:49,1,0.05,523.9,Debit Card,Completed
ORD-000073,CUST-00684,PROD-0048,2024-01-05 10:51:22,2,0.05,841.4,Credit Card,Completed
ORD-000074,CUST-01280,PROD-0243,2024-01-05 11:35:30,1,0.0,265.51,Credit Card,Completed
ORD-000075,CUST-02295,PROD-0170,2024-01-05 11:36:11,1,0.0,632.85,PayPal,Completed
ORD-000076,CUST-02011,PROD-0090,2024-01-05 16:00:16,1,0.2,236.78,Apple Pay,Completed
ORD-000077,CUST-01216,PROD-0245,2024-01-05 16:51:02,1,0.0,431.95,Credit Card,Completed
ORD-000078,CUST-01650,PROD-0228,2024-01-05 17:49:57,2,0.0,294.82,Credit Card,Completed
ORD-000079,CUST-02583,PROD-0187,2024-01-05 17:59:16,4,0.0,2550.88,Credit Card,Completed
ORD-000080,CUST-01894,PROD-0181,2024-01-05 18:32:28,1,0.1,458.67,Debit Card,Completed
ORD-000081,CUST-00314,PROD-0168,2024-01-05 18:36:39,1,0.0,231.66,Credit Card,Completed
ORD-000082,CUST-03348,PROD-0203,2024-01-05 19:00:16,1,0.0,969.64,Credit Card,Completed
ORD-000083,CUST-01397,PROD-0190,2024-01-05 19:49:57,2,0.0,1918.52,Debit Card,Completed
ORD-000084,CUST-00444,PROD-0006,2024-01-05 20:39:41,4,0.0,2996.2,Credit Card,Completed
ORD-000085,CUST-01672,PROD-0132,2024-01-05 22:07:30,3,0.3,854.68,Credit Card,Completed
ORD-000086,CUST-02917,PROD-0245,2024-01-05 23:13:09,2,0.0,863.9,PayPal,Cancelled
ORD-000087,CUST-03267,PROD-0091,2024-01-06 00:12:49,1,0.0,536.3,Debit Card,Completed
ORD-000088,CUST-03330,PROD-0055,2024-01-06 01:48:19,2,0.0,1033.12,Apple Pay,Completed
ORD-000089,CUST-01814,PROD-0126,2024-01-06 03:56:20,1,0.1,375.31,Credit Card,Completed
ORD-000090,CUST-00582,PROD-0216,2024-01-06 04:05:05,5,0.0,2965.4,Credit Card,Completed
ORD-000091,CUST-02919,PROD-0197,2024-01-06 04:25:35,1,0.05,498.48,Credit Card,Completed
ORD-000092,CUST-01384,PROD-0242,2024-01-06 05:13:15,2,0.0,1930.76,PayPal,Completed
ORD-000093,CUST-00548,PROD-0131,2024-01-06 05:40:26,1,0.05,92.24,Credit Card,Completed
ORD-000094,CUST-01132,PROD-0007,2024-01-06 06:57:31,1,0.0,1072.75,Credit Card,Completed
ORD-000095,CUST-03096,PROD-0088,2024-01-06 07:32:32,2,0.0,76.72,Credit Card,Completed
ORD-000096,CUST-00465,PROD-0086,2024-01-06 10:47:57,2,0.05,1350.94,BNPL (Klarna),Completed
ORD-000097,CUST-01046,PROD-0140,2024-01-06 13:59:09,2,0.0,1007.12,BNPL (Klarna),Completed
ORD-000098,CUST-02550,PROD-0099,2024-01-06 14:14:17,2,0.1,225.14,PayPal,Completed
ORD-000099,CUST-02899,PROD-0145,2024-01-06 16:04:43,1,0.0,388.32,Credit Card,Completed
ORD-000100,CUST-01865,PROD-0195,2024-01-06 17:05:03,3,0.15,844.84,PayPal,Completed
ORD-000101,CUST-00716,PROD-0075,2024-01-06 17:50:12,3,0.0,2167.74,Debit Card,Completed
ORD-000102,CUST-00892,PROD-0198,2024-01-06 18:45:23,1,0.0,512.93,PayPal,Completed
ORD-000103,CUST-00501,PROD-0107,2024-01-06 23:12:28,3,0.0,160.71,Apple Pay,Completed
ORD-000104,CUST-02783,PROD-0164,2024-01-06 23:26:07,5,0.0,485.35,Credit Card,Refunded
ORD-000105,CUST-02641,PROD-0145,2024-01-06 23:29:43,2,0.0,776.64,Bank Transfer,Cancelled
ORD-000106,CUST-00407,PROD-0086,2024-01-07 05:28:59,1,0.0,711.02,Apple Pay,Completed
ORD-000107,CUST-01354,PROD-0001,2024-01-07 06:38:26,2,0.15,363.14,Debit Card,Completed
ORD-000108,CUST-00703,PROD-0236,2024-01-07 11:00:17,1,0.05,127.05,PayPal,Completed
ORD-000109,CUST-02334,PROD-0120,2024-01-07 11:51:44,2,0.0,171.64,Debit Card,Completed
ORD-000110,CUST-02195,PROD-0067,2024-01-07 15:25:04,1,0.1,517.38,PayPal,Completed
ORD-000111,CUST-02842,PROD-0208,2024-01-07 15:32:30,4,0.0,2204.16,Debit Card,Completed
ORD-000112,CUST-02010,PROD-0099,2024-01-07 15:45:25,2,0.15,212.64,Credit Card,Cancelled
ORD-000113,CUST-00384,PROD-0206,2024-01-08 03:37:50,1,0.0,225.02,Credit Card,Completed
ORD-000114,CUST-02059,PROD-0049,2024-01-08 05:15:11,2,0.0,365.26,PayPal,Completed
ORD-000115,CUST-02324,PROD-0051,2024-01-08 05:46:32,1,0.1,663.33,BNPL (Klarna),Completed
ORD-000116,CUST-00886,PROD-0071,2024-01-08 05:57:04,1,0.0,194.58,Credit Card,Completed
ORD-000117,CUST-01592,PROD-0218,2024-01-08 06:42:22,1,0.05,117.9,Credit Card,Completed
ORD-000118,CUST-00964,PROD-0120,2024-01-08 08:40:28,1,0.15,72.95,Apple Pay,Completed
ORD-000119,CUST-00303,PROD-0171,2024-01-08 12:02:51,5,0.15,470.77,Credit Card,Cancelled
ORD-000120,CUST-02252,PROD-0112,2024-01-08 15:09:01,1,0.15,436.3,BNPL (Klarna),Completed
ORD-000121,CUST-00345,PROD-0031,2024-01-08 16:13:37,2,0.0,822.52,PayPal,Completed
ORD-000122,CUST-01784,PROD-0024,2024-01-08 16:21:17,1,0.1,570.55,Bank Transfer,Completed
ORD-000123,CUST-00826,PROD-0211,2024-01-08 16:53:07,2,0.0,1980.44,Apple Pay,Completed
ORD-000124,CUST-01290,PROD-0037,2024-01-08 17:21:34,2,0.1,1327.25,PayPal,Completed
ORD-000125,CUST-00022,PROD-0193,2024-01-08 18:57:22,1,0.0,62.0,Credit Card,Completed
ORD-000126,CUST-02887,PROD-0217,2024-01-08 20:19:00,5,0.0,3531.75,Debit Card,Completed
ORD-000127,CUST-02584,PROD-0063,2024-01-08 20:32:01,1,0.15,533.2,Credit Card,Completed
ORD-000128,CUST-01730,PROD-0056,2024-01-08 21:46:41,2,0.1,1301.02,Apple Pay,Completed
ORD-000129,CUST-01120,PROD-0202,2024-01-09 00:10:13,1,0.2,209.43,PayPal,Completed
ORD-000130,CUST-03029,PROD-0018,2024-01-09 00:21:07,1,0.0,319.04,Credit Card,Completed
ORD-000131,CUST-01469,PROD-0106,2024-01-09 02:22:10,3,0.0,890.13,Credit Card,Completed
ORD-000132,CUST-00263,PROD-0193,2024-01-09 03:13:22,2,0.15,105.4,Credit Card,Completed
ORD-000133,CUST-02632,PROD-0157,2024-01-09 05:05:40,1,0.0,695.89,PayPal,Completed
ORD-000134,CUST-03061,PROD-0077,2024-01-09 06:29:35,4,0.15,859.89,Debit Card,Completed
ORD-000135,CUST-02431,PROD-0004,2024-01-09 08:40:46,1,0.1,472.46,Credit Card,Completed
ORD-000136,CUST-01574,PROD-0121,2024-01-09 11:48:45,2,0.15,485.1,Debit Card,Completed
ORD-000137,CUST-02965,PROD-0140,2024-01-09 15:39:13,1,0.05,478.38,Credit Card,Completed
ORD-000138,CUST-00392,PROD-0184,2024-01-09 15:43:50,2,0.1,955.37,Credit Card,Completed
ORD-000139,CUST-02937,PROD-0048,2024-01-09 16:52:25,1,0.0,442.84,Credit Card,Completed
ORD-000140,CUST-00540,PROD-0147,2024-01-09 17:19:30,1,0.2,212.62,Bank Transfer,Completed
ORD-000141,CUST-01116,PROD-0026,2024-01-09 17:28:35,5,0.0,1014.5,Credit Card,Completed
ORD-000142,CUST-02614,PROD-0108,2024-01-09 19:29:13,1,0.0,54.25,Debit Card,Completed
ORD-000143,CUST-01183,PROD-0038,2024-01-09 20:13:54,1,0.05,189.6,Debit Card,Completed
ORD-000144,CUST-00884,PROD-0080,2024-01-10 00:37:14,1,0.1,37.9,PayPal,Completed
ORD-000145,CUST-00228,PROD-0236,2024-01-10 01:53:36,1,0.1,120.37,Credit Card,Completed
ORD-000146,CUST-02521,PROD-0153,2024-01-10 01:59:40,1,0.0,536.63,Credit Card,Completed
ORD-000147,CUST-02420,PROD-0184,2024-01-10 03:38:10,1,0.1,477.68,Credit Card,Completed
ORD-000148,CUST-01400,PROD-0202,2024-01-10 04:01:40,1,0.1,235.61,Credit Card,Completed
ORD-000149,CUST-01577,PROD-0229,2024-01-10 05:56:17,2,0.05,1003.03,Debit Card,Completed
ORD-000150,CUST-02085,PROD-0028,2024-01-10 09:17:12,2,0.0,249.2,Credit Card,Completed
ORD-000151,CUST-01958,PROD-0061,2024-01-10 11:40:19,5,0.05,1935.44,Debit Card,Refunded
ORD-000152,CUST-00691,PROD-0220,2024-01-10 12:08:25,2,0.15,429.23,Credit Card,Completed
ORD-000153,CUST-02892,PROD-0089,2024-01-10 12:08:36,1,0.15,112.4,Debit Card,Completed
ORD-000154,CUST-01061,PROD-0089,2024-01-10 16:54:17,1,0.0,132.23,Apple Pay,Completed
ORD-000155,CUST-02149,PROD-0179,2024-01-10 17:17:54,2,0.0,265.04,Credit Card,Completed
ORD-000156,CUST-01214,PROD-0140,2024-01-10 17:54:34,2,0.0,1007.12,Credit Card,Completed
ORD-000157,CUST-01536,PROD-0008,2024-01-10 18:27:30,1,0.0,198.61,Credit Card,Completed
ORD-000158,CUST-00658,PROD-0228,2024-01-10 19:21:44,1,0.0,147.41,Credit Card,Completed
ORD-000159,CUST-00090,PROD-0122,2024-01-10 19:22:49,2,0.05,316.79,Credit Card,Completed
ORD-000160,CUST-03078,PROD-0103,2024-01-10 20:53:33,2,0.05,270.6,Credit Card,Completed
ORD-000161,CUST-02953,PROD-0186,2024-01-10 20:59:28,2,0.0,1281.5,Bank Transfer,Completed
ORD-000162,CUST-01163,PROD-0088,2024-01-10 21:19:07,1,0.0,38.36,PayPal,Completed
ORD-000163,CUST-00095,PROD-0023,2024-01-10 23:21:58,2,0.0,525.32,BNPL (Klarna),Completed
ORD-000164,CUST-01655,PROD-0037,2024-01-11 00:30:11,2,0.0,1474.72,Debit Card,Shipped
ORD-000165,CUST-01902,PROD-0011,2024-01-11 02:09:34,3,0.1,1248.21,Apple Pay,Completed
ORD-000166,CUST-02680,PROD-0017,2024-01-11 02:50:04,2,0.0,1032.24,Apple Pay,Completed
ORD-000167,CUST-03458,PROD-0220,2024-01-11 02:58:55,2,0.05,479.73,Apple Pay,Completed
ORD-000168,CUST-02171,PROD-0184,2024-01-11 05:36:09,2,0.0,1061.52,Credit Card,Completed
ORD-000169,CUST-03357,PROD-0181,2024-01-11 08:29:35,1,0.05,484.15,PayPal,Completed
ORD-000170,CUST-00366,PROD-0195,2024-01-11 10:44:26,1,0.05,314.74,Debit Card,Completed
ORD-000171,CUST-02739,PROD-0130,2024-01-11 10:46:59,3,0.0,2543.61,Debit Card,Completed
ORD-000172,CUST-01514,PROD-0243,2024-01-11 12:36:10,1,0.05,252.23,Debit Card,Completed
ORD-000173,CUST-02373,PROD-0029,2024-01-11 16:37:42,2,0.0,826.66,PayPal,Completed
ORD-000174,CUST-02455,PROD-0057,2024-01-11 16:47:26,10,0.0,4962.5,BNPL (Klarna),Completed
ORD-000175,CUST-00996,PROD-0162,2024-01-11 17:38:25,10,0.1,8757.36,Apple Pay,Completed
ORD-000176,CUST-00519,PROD-0078,2024-01-11 19:21:56,2,0.05,1387.76,Apple Pay,Completed
ORD-000177,CUST-00896,PROD-0122,2024-01-11 20:20:51,1,0.1,150.06,Debit Card,Completed
ORD-000178,CUST-01848,PROD-0225,2024-01-12 00:07:16,1,0.0,479.13,PayPal,Shipped
ORD-000179,CUST-02125,PROD-0112,2024-01-12 01:14:38,4,0.0,2053.16,Debit Card,Completed
ORD-000180,CUST-02282,PROD-0239,2024-01-12 02:01:37,1,0.0,474.28,Credit Card,Completed
ORD-000181,CUST-00830,PROD-0210,2024-01-12 02:39:35,10,0.0,3969.7,Apple Pay,Refunded
ORD-000182,CUST-02634,PROD-0093,2024-01-12 05:25:45,1,0.0,444.74,Bank Transfer,Completed
ORD-000183,CUST-02532,PROD-0002,2024-01-12 06:30:29,2,0.05,151.71,PayPal,Completed
ORD-000184,CUST-00271,PROD-0124,2024-01-12 06:44:43,1,0.1,644.03,Apple Pay,Completed
ORD-000185,CUST-02987,PROD-0203,2024-01-12 07:48:01,1,0.1,872.68,Credit Card,Completed
ORD-000186,CUST-00469,PROD-0031,2024-01-12 09:00:50,4,0.05,1562.79,Debit Card,Completed
ORD-000187,CUST-02680,PROD-0117,2024-01-12 10:01:32,2,0.0,732.36,Apple Pay,Completed
ORD-000188,CUST-02595,PROD-0113,2024-01-12 13:18:04,1,0.0,150.11,Credit Card,Completed
ORD-000189,CUST-00719,PROD-0205,2024-01-12 13:20:05,1,0.0,115.09,Credit Card,Completed
ORD-000190,CUST-01008,PROD-0044,2024-01-12 13:30:23,2,0.0,569.1,Credit Card,Completed
ORD-000191,CUST-02318,PROD-0127,2024-01-12 18:30:31,1,0.05,558.33,Credit Card,Completed
ORD-000192,CUST-00605,PROD-0090,2024-01-12 19:26:07,3,0.1,799.12,Credit Card,Completed
ORD-000193,CUST-03013,PROD-0184,2024-01-12 19:32:23,1,0.05,504.22,Credit Card,Completed
ORD-000194,CUST-00378,PROD-0226,2024-01-12 20:11:54,1,0.0,676.77,Bank Transfer,Completed
ORD-000195,CUST-00177,PROD-0182,2024-01-12 22:16:08,1,0.2,40.05,Apple Pay,Completed
ORD-000196,CUST-02322,PROD-0181,2024-01-13 02:11:56,1,0.0,509.63,Debit Card,Completed
ORD-000197,CUST-01715,PROD-0114,2024-01-13 05:34:28,1,0.15,755.89,PayPal,Completed
ORD-000198,CUST-00637,PROD-0074,2024-01-13 06:28:12,10,0.1,4720.86,Credit Card,Completed
ORD-000199,CUST-02075,PROD-0204,2024-01-13 06:36:59,1,0.0,277.81,PayPal,Completed
ORD-000200,CUST-02624,PROD-0241,2024-01-13 07:04:12,1,0.0,668.69,Debit Card,Completed
ORD-000201,CUST-00060,PROD-0214,2024-01-13 07:15:15,1,0.2,454.93,PayPal,Completed
ORD-000202,CUST-02779,PROD-0046,2024-01-13 08:08:04,2,0.05,287.43,Debit Card,Completed
ORD-000203,CUST-03289,PROD-0054,2024-01-13 08:39:34,2,0.0,899.36,Credit Card,Completed
ORD-000204,CUST-00661,PROD-0159,2024-01-13 09:09:54,2,0.05,70.57,Apple Pay,Completed
ORD-000205,CUST-00270,PROD-0211,2024-01-13 09:22:13,1,0.05,940.71,Debit Card,Completed
ORD-000206,CUST-03188,PROD-0109,2024-01-13 11:20:19,2,0.0,1766.68,PayPal,Completed
ORD-000207,CUST-00245,PROD-0024,2024-01-13 12:07:25,2,0.0,1267.88,Credit Card,Completed
ORD-000208,CUST-00660,PROD-0153,2024-01-13 13:18:46,1,0.0,536.63,Debit Card,Completed
ORD-000209,CUST-00085,PROD-0163,2024-01-13 14:32:36,1,0.0,558.11,Credit Card,Shipped
ORD-000210,CUST-00907,PROD-0057,2024-01-13 20:25:24,2,0.0,992.5,Apple Pay,Completed
ORD-000211,CUST-01876,PROD-0072,2024-01-13 22:44:48,1,0.0,344.22,Bank Transfer,Completed
ORD-000212,CUST-02584,PROD-0069,2024-01-14 00:30:06,1,0.0,241.11,Credit Card,Completed
ORD-000213,CUST-02137,PROD-0214,2024-01-14 02:14:46,1,0.0,568.66,PayPal,Completed
ORD-000214,CUST-02597,PROD-0028,2024-01-14 02:20:40,1,0.2,99.68,Credit Card,Completed
ORD-000215,CUST-00854,PROD-0204,2024-01-14 02:31:14,1,0.05,263.92,Apple Pay,Completed
ORD-000216,CUST-02943,PROD-0033,2024-01-14 03:50:10,2,0.0,156.44,Credit Card,Completed
ORD-000217,CUST-00507,PROD-0053,2024-01-14 04:06:35,3,0.05,1082.46,Credit Card,Completed
ORD-000218,CUST-00408,PROD-0122,2024-01-14 04:31:30,2,0.0,333.46,Credit Card,Completed
ORD-000219,CUST-01295,PROD-0016,2024-01-14 06:09:57,1,0.15,629.46,PayPal,Completed
ORD-000220,CUST-00524,PROD-0154,2024-01-14 06:15:01,2,0.05,1345.86,Credit Card,Cancelled
ORD-000221,CUST-01518,PROD-0140,2024-01-14 06:18:58,2,0.0,1007.12,Debit Card,Completed
ORD-000222,CUST-02655,PROD-0087,2024-01-14 11:11:30,1,0.2,537.28,Debit Card,Completed
ORD-000223,CUST-03051,PROD-0241,2024-01-14 13:55:52,2,0.1,1203.64,Debit Card,Completed
ORD-000224,CUST-02496,PROD-0218,2024-01-14 14:05:34,2,0.0,248.22,Debit Card,Completed
ORD-000225,CUST-02591,PROD-0105,2024-01-14 18:13:52,1,0.2,478.42,Credit Card,Completed
ORD-000226,CUST-02997,PROD-0077,2024-01-14 18:22:26,1,0.15,214.97,Apple Pay,Completed
ORD-000227,CUST-02398,PROD-0087,2024-01-14 18:27:50,1,0.2,537.28,Credit Card,Completed
ORD-000228,CUST-02900,PROD-0031,2024-01-14 18:43:25,10,0.0,4112.6,Apple Pay,Completed
ORD-000229,CUST-00328,PROD-0100,2024-01-14 20:03:14,1,0.2,13.32,Debit Card,Cancelled
ORD-000230,CUST-01836,PROD-0155,2024-01-15 00:45:16,1,0.05,760.48,Debit Card,Completed
ORD-000231,CUST-01310,PROD-0036,2024-01-15 04:01:13,1,0.05,473.93,Credit Card,Completed
ORD-000232,CUST-03107,PROD-0059,2024-01-15 04:29:05,3,0.0,1640.1,Credit Card,Completed
ORD-000233,CUST-00623,PROD-0239,2024-01-15 05:21:50,1,0.0,474.28,Debit Card,Completed
ORD-000234,CUST-02536,PROD-0106,2024-01-15 06:34:22,2,0.0,593.42,Credit Card,Completed
ORD-000235,CUST-01855,PROD-0215,2024-01-15 07:56:17,2,0.0,1751.82,Debit Card,Completed
ORD-000236,CUST-02042,PROD-0230,2024-01-15 09:10:58,2,0.0,1170.0,Debit Card,Completed
ORD-000237,CUST-01884,PROD-0003,2024-01-15 09:45:28,3,0.0,2360.7,Credit Card,Shipped
ORD-000238,CUST-02535,PROD-0222,2024-01-15 11:26:52,1,0.2,314.67,Credit Card,Completed
ORD-000239,CUST-02193,PROD-0121,2024-01-15 13:05:21,4,0.1,1027.26,BNPL (Klarna),Completed
ORD-000240,CUST-00756,PROD-0160,2024-01-15 14:18:52,3,0.05,531.98,Debit Card,Completed
ORD-000241,CUST-00146,PROD-0015,2024-01-15 18:05:28,4,0.1,612.86,Apple Pay,Completed
ORD-000242,CUST-01021,PROD-0230,2024-01-15 18:25:51,2,0.05,1111.5,Credit Card,Completed
ORD-000243,CUST-01628,PROD-0075,2024-01-15 21:06:59,3,0.0,2167.74,Credit Card,Completed
ORD-000244,CUST-00828,PROD-0194,2024-01-15 22:00:22,1,0.05,130.77,Debit Card,Completed
ORD-000245,CUST-01859,PROD-0218,2024-01-15 23:08:39,1,0.05,117.9,Apple Pay,Completed
ORD-000246,CUST-00627,PROD-0191,2024-01-15 23:30:18,1,0.0,967.85,Debit Card,Completed
ORD-000247,CUST-01296,PROD-0226,2024-01-15 23:36:02,1,0.0,676.77,Debit Card,Completed
ORD-000248,CUST-02582,PROD-0001,2024-01-16 00:35:02,2,0.0,427.22,Credit Card,Completed
ORD-000249,CUST-00630,PROD-0203,2024-01-16 00:56:22,1,0.05,921.16,BNPL (Klarna),Completed
ORD-000250,CUST-02929,PROD-0133,2024-01-16 02:29:24,1,0.0,730.01,Debit Card,Completed
ORD-000251,CUST-03167,PROD-0090,2024-01-16 02:41:56,2,0.1,532.75,Credit Card,Completed
ORD-000252,CUST-02463,PROD-0006,2024-01-16 02:52:43,4,0.0,2996.2,Debit Card,Completed
ORD-000253,CUST-00257,PROD-0227,2024-01-16 02:54:18,2,0.05,1855.58,Credit Card,Completed
ORD-000254,CUST-03334,PROD-0244,2024-01-16 06:09:37,3,0.2,814.44,Debit Card,Completed
